time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.623325e-07	3.04933e-06	439.157123741	1241.23	263.580079822
1	3.04933e-06	6.93837e-06	1460.16690251	1241.23	3092.61386776
2	6.93837e-06	1.18984e-05	1286.57451218	1825.72	2441.77555929
3	1.18984e-05	1.82242e-05	4615.76394272	1148.63	1649.31395504
4	1.82242e-05	2.6292e-05	10121.5768115	1478.35	2073.7246598
5	2.6292e-05	3.65814e-05	14155.717776	1404.15	2082.47233113
6	3.65814e-05	4.97042e-05	16586.0126717	1023.32	1933.33119845
7	4.97042e-05	6.64408e-05	16576.2672392	638.709	1642.87762628
8	6.64408e-05	8.77861e-05	14352.8312224	407.049	1276.5031036
9	8.77861e-05	0.000115009	11881.515925	347.461	1397.68774838
10	0.000115009	0.000149729	10111.7793847	430.902	2152.77428331
11	0.000149729	0.00019401	8819.6111766	488.178	2637.02346673
12	0.00019401	0.000250484	7653.90327649	400.071	1855.8248518
13	0.000250484	0.00032251	6388.33548091	363.57	973.221266766
14	0.00032251	0.000414371	4970.6870893	421.366	629.793010446
15	0.000414371	0.000531526	4070.07002078	572.32	624.652564188
16	0.000531526	0.000680944	4234.14331133	787.416	767.558276914
17	0.000680944	0.000871507	4556.50144515	981.482	932.59697572
18	0.000871507	0.00111455	4566.76	957.483	954.512277009
19	0.00111455	0.00142451	4566.76	720.458	775.486122497
20	0.00142451	0.00181983	4566.76	506.116	548.07860229
21	0.00181983	0.00232401	4566.76	379.078	400.988831811
22	0.00232401	0.00296703	4566.76	322.281	328.285191593
23	0.00296703	0.00378713	4566.76	322.427	307.455098298
24	0.00378713	0.00483305	4566.76	366.421	342.287651236
25	0.00483305	0.00616699	4566.76	453.602	462.938018017
26	0.00616699	0.00786826	4566.76	608.361	496.862313425
27	0.00786826	0.010038	4566.76	836.047	610.209892973
28	0.010038	0.0128053	4566.76	836.047	646.096
29	0.0128053	0.0163345	4566.76	946.827	646.096
30	0.0163345	0.0208357	4566.76	946.827	646.096
31	0.0208357	0.0833428	4566.76	946.827	646.096
