time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.48825e-07	2.9953e-06	218.011034827	2343.84	316.122202059
1	2.9953e-06	6.81543e-06	1857.20766075	2343.84	5093.93610708
2	6.81543e-06	1.16875e-05	1891.5362113	1275.37	2358.38376308
3	1.16875e-05	1.79012e-05	4584.19521123	599.736	635.812996821
4	1.79012e-05	2.58261e-05	9780.0219301	1072.52	966.77968399
5	2.58261e-05	3.59332e-05	14133.8286105	1491.84	1610.92698504
6	3.59332e-05	4.88235e-05	16769.0961131	1374.98	1924.8503615
7	4.88235e-05	6.52635e-05	16811.3760417	953.869	2198.25836812
8	6.52635e-05	8.62306e-05	14526.2783939	555.313	2731.67537302
9	8.62306e-05	0.000112971	12079.3542815	331.057	3582.34311594
10	0.000112971	0.000147076	10412.8276436	245.575	4175.96370525
11	0.000147076	0.000190572	9227.64811928	224.984	3694.95074584
12	0.000190572	0.000246046	8122.55545295	258.506	2501.18551418
13	0.000246046	0.000316796	6791.80892302	365.483	1590.03484051
14	0.000316796	0.000407028	5135.32906054	526.955	1174.40680373
15	0.000407028	0.000522108	3934.21973733	734.973	1046.20549325
16	0.000522108	0.000668877	3386.33632279	960.522	1051.74021223
17	0.000668877	0.000856064	2215.42410002	1101.88	1081.10134125
18	0.000856064	0.0010948	2160.05	992.116	978.638786766
19	0.0010948	0.00139927	2160.05	713.378	735.862700762
20	0.00139927	0.00178758	2160.05	485.637	495.584743242
21	0.00178758	0.00228283	2160.05	361.146	349.695633286
22	0.00228283	0.00291446	2160.05	314.722	288.37039279
23	0.00291446	0.00372002	2160.05	317.061	334.596435338
24	0.00372002	0.00474741	2160.05	350.597	467.917754252
25	0.00474741	0.00605771	2160.05	419.746	426.369970004
26	0.00605771	0.00772883	2160.05	522.734	238.029543678
27	0.00772883	0.00986014	2160.05	679.185	214.927
28	0.00986014	0.0125784	2160.05	679.185	214.927
29	0.0125784	0.0160451	2160.05	4820.63	214.927
30	0.0160451	0.0204665	2160.05	4820.63	214.927
31	0.0204665	0.081866	2160.05	4820.63	214.927
