time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	8.053625e-07	3.22145e-06	570.544907138	949.141	513.953737049
1	3.22145e-06	7.33e-06	1242.53073781	949.141	2943.0048324
2	7.33e-06	1.25699e-05	1544.55770601	1441.28	1737.87391993
3	1.25699e-05	1.92528e-05	5525.86925393	1341.56	1455.4550531
4	1.92528e-05	2.7776e-05	10635.4653575	1202.49	2148.31227703
5	2.7776e-05	3.86462e-05	13068.6278713	1199.54	2668.63949986
6	3.86462e-05	5.25097e-05	13351.6685023	971.107	2450.30836334
7	5.25097e-05	7.0191e-05	12534.9367422	569.799	1867.19764387
8	7.0191e-05	9.27411e-05	11091.73194	329.855	1548.90597203
9	9.27411e-05	0.000121501	9569.59082427	283.598	1793.46342576
10	0.000121501	0.000158181	8434.49202363	379.602	2761.59849136
11	0.000158181	0.000204961	7631.13354311	453.557	3428.1356339
12	0.000204961	0.000264623	6753.83713501	382.154	2645.1686515
13	0.000264623	0.000340714	5626.25224152	347.481	1388.29604049
14	0.000340714	0.000437759	4399.36559111	415.96	794.398295648
15	0.000437759	0.000561528	3165.20098669	588.246	692.896902433
16	0.000561528	0.000719379	2872.54815489	823.524	795.964164338
17	0.000719379	0.000920698	2346.4105297	995.437	923.230491702
18	0.000920698	0.00117745	2166.37	898.8	899.649539727
19	0.00117745	0.00150492	2166.37	642.283	687.714857238
20	0.00150492	0.00192255	2166.37	451.559	457.621995083
21	0.00192255	0.00245519	2166.37	346.86	310.583691738
22	0.00245519	0.00313451	2166.37	301.416	239.825889901
23	0.00313451	0.00400089	2166.37	296.617	262.887117449
24	0.00400089	0.00510584	2166.37	320.828	600.193951912
25	0.00510584	0.00651508	2166.37	371.376	679.119407297
26	0.00651508	0.00831237	2166.37	446.367	250.266778586
27	0.00831237	0.0106046	2166.37	441.816	48.7281
28	0.0106046	0.013528	2166.37	441.816	48.7281
29	0.013528	0.0172565	2166.37	210.067	48.7281
30	0.0172565	0.0220117	2166.37	210.067	48.7281
31	0.0220117	0.0880468	2166.37	210.067	48.7281
