time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.853175e-07	3.14127e-06	600.550455577	1729.7	106.540888654
1	3.14127e-06	7.14755e-06	1879.0238186	1729.7	3422.15780361
2	7.14755e-06	1.22571e-05	1775.15675122	1707.35	2474.43901773
3	1.22571e-05	1.87736e-05	5191.22730111	814.748	745.805890097
4	1.87736e-05	2.70846e-05	10132.7715845	965.147	1082.14305609
5	2.70846e-05	3.76843e-05	12868.0373421	1186.45	1726.75398722
6	3.76843e-05	5.12027e-05	13444.2245189	1121.63	2040.89849661
7	5.12027e-05	6.84439e-05	12782.2017788	872.748	2338.69490861
8	6.84439e-05	9.04327e-05	11295.4655838	556.454	2889.61368174
9	9.04327e-05	0.000118477	9680.35069694	322.127	3745.41026632
10	0.000118477	0.000154243	8531.65716588	223.294	4205.22039955
11	0.000154243	0.000199859	7760.42943433	206.484	3522.91172278
12	0.000199859	0.000258036	6866.22572081	244.002	2309.49077325
13	0.000258036	0.000332234	5655.34204936	345.816	1480.65528308
14	0.000332234	0.000426863	4397.12681174	508.879	1127.71501457
15	0.000426863	0.000547551	3227.9165088	737.201	1024.94123161
16	0.000547551	0.000701473	2935.90952318	985.987	1039.68210811
17	0.000701473	0.000897781	2808.55409559	1108.75	1063.94011141
18	0.000897781	0.00114815	2752.05	943.143	932.141114165
19	0.00114815	0.00146746	2752.05	642.255	671.466556454
20	0.00146746	0.0018747	2752.05	432.757	446.542798253
21	0.0018747	0.00239408	2752.05	332.554	317.992734149
22	0.00239408	0.00305649	2752.05	299.122	269.907665438
23	0.00305649	0.0039013	2752.05	300.217	354.413684777
24	0.0039013	0.00497876	2752.05	319.533	469.637017471
25	0.00497876	0.00635291	2752.05	361.134	379.684711188
26	0.00635291	0.00810547	2752.05	431.258	197.015668621
27	0.00810547	0.0103406	2752.05	531.946	189.549
28	0.0103406	0.0131913	2752.05	531.946	189.549
29	0.0131913	0.016827	2752.05	182.053	189.549
30	0.016827	0.0214638	2752.05	182.053	189.549
31	0.0214638	0.0858552	2752.05	182.053	189.549
