time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.619975e-08	2.24799e-07	9.78840085436	7.65609	9.07878319401
1	2.24799e-07	5.11502e-07	9.94681095449	7.65609	9.27891852431
2	5.11502e-07	8.77155e-07	9.94681471092	7.6561	9.27890320646
3	8.77155e-07	1.3435e-06	9.94679287196	7.65609	62.3668205718
4	1.3435e-06	1.93826e-06	9.94679	12.2577	552.251404393
5	1.93826e-06	2.69681e-06	13.8172637408	346.046	1473.03468265
6	2.69681e-06	3.66423e-06	80.57168856	2219.99	1713.76382815
7	3.66423e-06	4.89807e-06	442.416815904	3821.74	1321.52888743
8	4.89807e-06	6.47166e-06	1398.21210362	2292.79	1093.90366005
9	6.47166e-06	8.47858e-06	3067.90581221	798.562	1343.37748012
10	8.47858e-06	1.10382e-05	5589.85689439	334.985	2281.92869946
11	1.10382e-05	1.43026e-05	9285.40672222	297.549	4201.27606022
12	1.43026e-05	1.84659e-05	13980.1188478	558.747	6954.89010196
13	1.84659e-05	2.37757e-05	18187.7853223	1476.41	9695.93725071
14	2.37757e-05	3.05477e-05	19804.0561642	3700.74	11849.8056692
15	3.05477e-05	3.91845e-05	18450.7992101	7417.14	13183.6481276
16	3.91845e-05	5.01997e-05	15802.3463915	11440.2	13369.3987438
17	5.01997e-05	6.42481e-05	13281.3378993	13422.0	12539.0838864
18	6.42481e-05	8.21651e-05	11330.6959394	12534.6	11282.250684
19	8.21651e-05	0.000105016	9864.08825436	10516.7	10166.5084158
20	0.000105016	0.000134159	8630.04368444	9004.14	9406.03500086
21	0.000134159	0.000171328	7392.7291918	8110.77	8807.54337921
22	0.000171328	0.000218732	6065.72629002	7436.42	7985.78445678
23	0.000218732	0.00027919	4740.86997274	6536.48	6776.78973591
24	0.00027919	0.000356296	3584.74709766	5228.48	5408.11959927
25	0.000356296	0.000454635	2607.48332505	3793.56	4175.78936156
26	0.000454635	0.000580054	1970.0400039	2606.55	3145.4573127
27	0.000580054	0.00074001	2172.94613587	1588.46	3033.80243675
28	0.00074001	0.000944014	2776.82433305	1588.46	3208.12625184
29	0.000944014	0.00120419	2822.66	2613.69	3251.38
30	0.00120419	0.00153602	2822.66	2613.69	3251.38
31	0.00153602	0.00614408	2822.66	2613.69	3251.38
