time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	6.8397e-07	2.73588e-06	131.64990154	1565.36	297.764200364
1	2.73588e-06	6.22514e-06	661.759109073	1565.36	2736.69889345
2	6.22514e-06	1.06753e-05	1973.87535531	2298.41	1481.92773682
3	1.06753e-05	1.63508e-05	7628.77226873	1004.52	950.439256452
4	1.63508e-05	2.35893e-05	14956.5680837	737.519	1767.72890006
5	2.35893e-05	3.2821e-05	18417.3734019	666.32	2239.58695393
6	3.2821e-05	4.45949e-05	17464.5757322	483.325	1928.36287348
7	4.45949e-05	5.9611e-05	14649.4049874	277.718	1436.34299454
8	5.9611e-05	7.87622e-05	12338.2357044	228.704	1326.43821029
9	7.87622e-05	0.000103187	10992.764073	380.44	1764.9925919
10	0.000103187	0.000134338	10106.1755275	877.081	2717.3864941
11	0.000134338	0.000174067	9224.81494707	1426.67	3494.75717096
12	0.000174067	0.000224736	8102.20078204	1220.14	2980.31960708
13	0.000224736	0.000289358	6736.86940114	747.123	1811.79638894
14	0.000289358	0.000371775	5151.77520062	550.302	1038.78607407
15	0.000371775	0.000476888	3605.18326542	567.484	769.650502985
16	0.000476888	0.000610946	3270.28963842	728.69	782.416851465
17	0.000610946	0.00078192	2358.78875114	972.249	920.305897233
18	0.00078192	0.000999976	2185.54	1045.32	987.979571744
19	0.000999976	0.00127808	2185.54	811.215	846.524951927
20	0.00127808	0.00163276	2185.54	553.293	588.886838715
21	0.00163276	0.00208512	2185.54	402.779	400.393970508
22	0.00208512	0.00266204	2185.54	327.438	308.376345792
23	0.00266204	0.00339783	2185.54	302.151	278.669205869
24	0.00339783	0.00433623	2185.54	316.319	307.650035321
25	0.00433623	0.00553305	2185.54	378.162	415.48280668
26	0.00553305	0.00705944	2185.54	502.966	426.630100699
27	0.00705944	0.00900616	2185.54	774.768	369.487386172
28	0.00900616	0.0114889	2185.54	774.768	353.729
29	0.0114889	0.0146554	2185.54	5627.17	353.729
30	0.0146554	0.0186939	2185.54	5627.17	353.729
31	0.0186939	0.0747756	2185.54	5627.17	353.729
