time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	6.97855e-07	2.79142e-06	110.258114855	380.237	317.164136757
1	2.79142e-06	6.35151e-06	768.786065527	380.237	2510.22574595
2	6.35151e-06	1.0892e-05	1125.17548933	2410.34	1946.1439742
3	1.0892e-05	1.66827e-05	3580.98680994	1522.77	1336.85184947
4	1.66827e-05	2.40681e-05	9290.72627176	1169.92	1349.99330614
5	2.40681e-05	3.34872e-05	15387.0892606	729.808	1438.18428908
6	3.34872e-05	4.55002e-05	17791.3227434	420.214	1205.45419768
7	4.55002e-05	6.08211e-05	15942.0342378	272.297	1148.13201939
8	6.08211e-05	8.0361e-05	12922.0796743	272.147	1393.86130258
9	8.0361e-05	0.000105282	10762.2079768	461.353	2031.42261053
10	0.000105282	0.000137065	9275.50126525	915.564	3020.8767598
11	0.000137065	0.0001776	7896.64437644	1246.77	3509.85774998
12	0.0001776	0.000229298	6539.21618733	1011.1	2723.7890217
13	0.000229298	0.000295232	5312.00930394	691.747	1640.11870295
14	0.000295232	0.000379322	4244.00388843	565.676	1050.34401085
15	0.000379322	0.000486569	3092.6222636	597.705	863.188568957
16	0.000486569	0.000623348	2450.77	755.885	903.242238942
17	0.000623348	0.000797793	1962.98845291	978.795	1042.56801588
18	0.000797793	0.00102027	1298.39811651	1029.53	1040.96912852
19	0.00102027	0.00130402	1291.04	790.093	825.915108907
20	0.00130402	0.00166591	1291.04	542.245	572.866662153
21	0.00166591	0.00212744	1291.04	394.64	407.934427957
22	0.00212744	0.00271608	1291.04	319.889	322.915180288
23	0.00271608	0.0034668	1291.04	300.096	294.12987607
24	0.0034668	0.00442426	1291.04	322.081	320.143175963
25	0.00442426	0.00564537	1291.04	381.021	380.357893399
26	0.00564537	0.00720274	1291.04	478.457	413.117574499
27	0.00720274	0.00918898	1291.04	637.829	530.676650921
28	0.00918898	0.0117222	1291.04	637.829	546.387
29	0.0117222	0.0149529	1291.04	891.269	546.387
30	0.0149529	0.0190734	1291.04	891.269	546.387
31	0.0190734	0.0762936	1291.04	891.269	546.387
