time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	6.877075e-07	2.75083e-06	94.4768612153	133.228	199.522445261
1	2.75083e-06	6.25917e-06	769.775627501	133.228	1987.548397
2	6.25917e-06	1.07336e-05	1090.39022928	2732.84	1790.41111918
3	1.07336e-05	1.64402e-05	3362.31286136	1374.36	1304.51843855
4	1.64402e-05	2.37182e-05	8891.68783124	881.799	1393.62138668
5	2.37182e-05	3.30004e-05	15305.7518126	635.515	1406.40190338
6	3.30004e-05	4.48387e-05	18284.9795086	446.619	1263.08562947
7	4.48387e-05	5.99369e-05	16375.4886426	325.564	1218.12613464
8	5.99369e-05	7.91927e-05	12881.8805909	327.583	1406.60942685
9	7.91927e-05	0.000103751	10452.9014208	516.743	2002.97697595
10	0.000103751	0.000135072	8954.09254908	955.936	2979.77219846
11	0.000135072	0.000175018	7700.65116108	1244.87	3544.09719855
12	0.000175018	0.000225964	6529.73357378	1040.91	2860.88864501
13	0.000225964	0.00029094	5619.02622914	721.8	1744.61854511
14	0.00029094	0.000373807	5081.46187444	583.691	1066.28529347
15	0.000373807	0.000479495	5583.09421083	604.724	834.484631427
16	0.000479495	0.000614286	6436.94516446	747.814	852.617641327
17	0.000614286	0.000786194	4199.37276068	962.602	981.768567627
18	0.000786194	0.00100544	179.870540176	1044.74	1017.18272592
19	0.00100544	0.00128506	63.9785	831.561	846.491066874
20	0.00128506	0.00164169	63.9785	559.892	591.32368903
21	0.00164169	0.00209651	63.9785	396.646	416.554452081
22	0.00209651	0.00267659	63.9785	321.996	330.861519992
23	0.00267659	0.0034164	63.9785	303.353	303.216993551
24	0.0034164	0.00435994	63.9785	321.515	321.210231826
25	0.00435994	0.0055633	63.9785	374.837	373.77794554
26	0.0055633	0.00709803	63.9785	469.582	392.995090882
27	0.00709803	0.00905539	63.9785	644.165	474.378607965
28	0.00905539	0.0115517	63.9785	644.165	491.712
29	0.0115517	0.0147355	63.9785	847.623	491.712
30	0.0147355	0.0187961	63.9785	847.623	491.712
31	0.0187961	0.0751844	63.9785	847.623	491.712
