time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.786475e-07	3.11459e-06	24.5783391103	699.048	206.497077601
1	3.11459e-06	7.08684e-06	653.166504765	699.048	2536.40701459
2	7.08684e-06	1.2153e-05	1246.21871005	1682.5	2094.75822688
3	1.2153e-05	1.86141e-05	2874.12062814	962.524	1121.46392199
4	1.86141e-05	2.68546e-05	6312.13357816	1157.49	1186.84096883
5	2.68546e-05	3.73642e-05	11254.8574771	1354.29	1710.70968093
6	3.73642e-05	5.07678e-05	16289.1234515	1113.48	2246.61189275
7	5.07678e-05	6.78625e-05	17617.7406292	650.855	1981.0173213
8	6.78625e-05	8.96646e-05	14793.257067	375.515	1486.17471772
9	8.96646e-05	0.00011747	12008.8448302	321.652	1506.18165191
10	0.00011747	0.000152933	10842.46671	414.221	2103.00290469
11	0.000152933	0.000198161	10193.2907365	466.526	2444.12348805
12	0.000198161	0.000255844	9159.49425946	379.101	1753.77772202
13	0.000255844	0.000329412	7793.69276098	353.294	943.59014996
14	0.000329412	0.000423237	6212.7202877	423.104	621.651348772
15	0.000423237	0.0005429	5177.55096403	578.701	627.22351226
16	0.0005429	0.000695515	3453.46287223	793.15	779.999559593
17	0.000695515	0.000890156	480.38914676	974.837	935.218047716
18	0.000890156	0.0011384	406.619	932.056	926.863637845
19	0.0011384	0.00145499	406.619	697.375	729.072171638
20	0.00145499	0.00185877	406.619	486.719	513.759416683
21	0.00185877	0.00237374	406.619	359.46	379.257582705
22	0.00237374	0.00303052	406.619	305.619	316.099094299
23	0.00303052	0.00386816	406.619	311.628	302.832576817
24	0.00386816	0.00493647	406.619	368.213	334.226069531
25	0.00493647	0.00629895	406.619	465.212	423.634222151
26	0.00629895	0.00803663	406.619	578.783	447.800985209
27	0.00803663	0.0102528	406.619	721.193	490.994757606
28	0.0102528	0.0130793	406.619	721.193	508.215
29	0.0130793	0.0166841	406.619	735.676	508.215
30	0.0166841	0.0212815	406.619	735.676	508.215
31	0.0212815	0.085126	406.619	735.676	508.215
