time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.633875e-08	2.25355e-07	10.8848992204	7.6372	8.78601078315
1	2.25355e-07	5.12767e-07	10.9628	7.6372	9.00642741097
2	5.12767e-07	8.79324e-07	10.9628674008	7.6372	9.00653908856
3	8.79324e-07	1.34682e-06	10.9628809124	7.63722	95.1293683208
4	1.34682e-06	1.94306e-06	10.9628359834	7.63721	678.739102495
5	1.94306e-06	2.70348e-06	48.7120635524	107.344	1451.29443701
6	2.70348e-06	3.6733e-06	313.276476107	1064.39	1407.87164206
7	3.6733e-06	4.91018e-06	760.82428151	2473.69	956.627921668
8	4.91018e-06	6.48766e-06	887.422475864	1755.27	767.893623811
9	6.48766e-06	8.49955e-06	765.51171789	640.229	1025.16337059
10	8.49955e-06	1.10654e-05	926.680671136	253.339	1960.12438657
11	1.10654e-05	1.43379e-05	1878.69114923	209.355	3916.08516012
12	1.43379e-05	1.85116e-05	3857.78370128	399.937	6701.26067064
13	1.85116e-05	2.38345e-05	6555.29030093	1172.68	9420.72618866
14	2.38345e-05	3.06232e-05	9795.72881064	3311.45	11549.7755314
15	3.06232e-05	3.92814e-05	13504.0400014	7161.34	12887.8989165
16	3.92814e-05	5.03238e-05	16397.2977946	11475.4	13134.7173526
17	5.03238e-05	6.4407e-05	16735.9622327	13785.2	12355.0901242
18	6.4407e-05	8.23683e-05	14974.7727552	12869.2	11091.7003826
19	8.23683e-05	0.000105276	13064.7803532	10695.7	9913.17890243
20	0.000105276	0.000134491	11904.7696453	9035.87	9058.00060658
21	0.000134491	0.000171752	11026.6945837	8011.9	8369.38324086
22	0.000171752	0.000219273	9554.35237433	7229.78	7521.59666114
23	0.000219273	0.00027988	7817.92753523	6393.9	6364.77050708
24	0.00027988	0.000357177	6648.95750613	5394.93	5047.51393592
25	0.000357177	0.000455759	7384.45399706	4386.07	3818.12911524
26	0.000455759	0.000581488	7735.33843628	3538.33	2716.32031776
27	0.000581488	0.00074184	3156.26784817	2889.16	2533.61292633
28	0.00074184	0.000946348	53.7313	2889.16	2854.462302
29	0.000946348	0.00120717	53.7313	118.937	2970.16
30	0.00120717	0.00153982	53.7313	118.937	2970.16
31	0.00153982	0.00615928	53.7313	118.937	2970.16
