time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.122175e-07	2.84887e-06	9.65843921334	710.417	429.698887013
1	2.84887e-06	6.48223e-06	299.361812811	710.417	2431.45367493
2	6.48223e-06	1.11161e-05	3066.24049311	1692.0	999.119393759
3	1.11161e-05	1.70261e-05	9725.96610904	1206.35	1041.79861022
4	1.70261e-05	2.45635e-05	17076.2531469	1076.34	1761.69383797
5	2.45635e-05	3.41765e-05	19278.0325994	716.053	1941.92898645
6	3.41765e-05	4.64366e-05	16753.7003776	396.462	1491.38744899
7	4.64366e-05	6.20729e-05	13450.8476892	236.408	1203.49934214
8	6.20729e-05	8.20149e-05	11020.927601	214.963	1283.47940833
9	8.20149e-05	0.000107448	9353.50348603	381.729	1874.02335936
10	0.000107448	0.000139886	8045.91595684	895.838	2879.66574337
11	0.000139886	0.000181255	6774.57414931	1291.54	3454.49874995
12	0.000181255	0.000234017	5422.62968297	1020.94	2750.97445715
13	0.000234017	0.000301308	4105.12704166	686.37	1663.08943964
14	0.000301308	0.000387129	3026.68453402	556.178	1022.25983893
15	0.000387129	0.000496583	2202.8734497	581.666	801.303368753
16	0.000496583	0.000636177	1871.5	731.741	816.070380672
17	0.000636177	0.000814212	2283.03919597	946.707	930.448398066
18	0.000814212	0.00104127	2750.43479364	1006.28	952.639365968
19	0.00104127	0.00133086	2751.28	780.183	785.532711378
20	0.00133086	0.00170019	2751.28	524.364	546.875065352
21	0.00170019	0.00217123	2751.28	374.45	382.69660336
22	0.00217123	0.00277198	2751.28	306.439	304.621808296
23	0.00277198	0.00353815	2751.28	289.408	282.927143568
24	0.00353815	0.00451531	2751.28	302.253	310.149451343
25	0.00451531	0.00576156	2751.28	343.631	374.979890192
26	0.00576156	0.00735099	2751.28	435.545	375.402089642
27	0.00735099	0.0093781	2751.28	634.005	343.22785338
28	0.0093781	0.0119634	2751.28	634.005	337.372
29	0.0119634	0.0152607	2751.28	650.946	337.372
30	0.0152607	0.0194659	2751.28	650.946	337.372
31	0.0194659	0.0778636	2751.28	650.946	337.372
