time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	6.9441e-07	2.77764e-06	32.5716127456	213.642	392.786592962
1	2.77764e-06	6.32016e-06	626.433552372	213.642	2887.23047889
2	6.32016e-06	1.08382e-05	1880.04985771	2991.44	1674.96390298
3	1.08382e-05	1.66004e-05	5213.65633509	1780.83	1052.58105992
4	1.66004e-05	2.39493e-05	10663.645733	1182.34	1233.65496871
5	2.39493e-05	3.3322e-05	15745.9479903	759.011	1471.92005909
6	3.3322e-05	4.52756e-05	17870.1174621	409.884	1271.02273805
7	4.52756e-05	6.05209e-05	16309.903373	228.015	1174.69422699
8	6.05209e-05	7.99644e-05	13245.9934163	208.44	1362.73497967
9	7.99644e-05	0.000104762	10750.2592444	377.732	1949.93548928
10	0.000104762	0.000136388	9112.55283493	862.576	2935.31365232
11	0.000136388	0.000176724	7907.5206449	1269.39	3483.59007576
12	0.000176724	0.000228166	6775.0663282	1042.34	2753.02447477
13	0.000228166	0.000293775	5590.31041155	707.478	1675.74857889
14	0.000293775	0.00037745	4462.11934786	567.495	1059.94343931
15	0.00037745	0.000484167	3344.52855475	592.346	857.138722643
16	0.000484167	0.000620272	2878.3333736	746.742	892.095899854
17	0.000620272	0.000793855	1828.70251426	966.832	1031.46819904
18	0.000793855	0.00101524	845.873	1020.18	1041.12075459
19	0.00101524	0.00129759	845.873	792.815	834.296113526
20	0.00129759	0.00165768	845.873	551.507	574.212254908
21	0.00165768	0.00211694	845.873	400.654	406.322129228
22	0.00211694	0.00270267	845.873	320.876	321.852375823
23	0.00270267	0.00344969	845.873	299.584	293.015060347
24	0.00344969	0.00440242	845.873	320.375	315.509633427
25	0.00440242	0.00561751	845.873	373.46	376.341295333
26	0.00561751	0.0071672	845.873	481.996	382.623161879
27	0.0071672	0.00914363	845.873	741.048	385.652716339
28	0.00914363	0.0116643	845.873	741.048	386.182
29	0.0116643	0.0148791	845.873	1301.2	386.182
30	0.0148791	0.0189792	845.873	1301.2	386.182
31	0.0189792	0.0759168	845.873	1301.2	386.182
