time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	6.76245e-07	2.70498e-06	421.226389985	1343.7	180.298906868
1	2.70498e-06	6.15483e-06	1164.61185545	1343.7	2503.26696104
2	6.15483e-06	1.05547e-05	814.317161827	2412.24	2179.82032641
3	1.05547e-05	1.61661e-05	3662.04383039	1479.77	1227.33802105
4	1.61661e-05	2.33228e-05	9477.84385866	971.347	1245.04584397
5	2.33228e-05	3.24503e-05	13976.9433955	679.885	1198.35188484
6	3.24503e-05	4.40912e-05	16457.3325577	443.114	1013.38118969
7	4.40912e-05	5.89377e-05	16833.5607677	294.742	1026.5538279
8	5.89377e-05	7.78725e-05	14849.185239	284.159	1177.99464522
9	7.78725e-05	0.000102021	12411.9052269	456.792	1755.47198972
10	0.000102021	0.00013282	10713.035099	947.666	2815.61555509
11	0.00013282	0.000172101	9353.87892597	1381.01	3490.76159554
12	0.000172101	0.000222197	8191.95437389	1142.18	2873.56372636
13	0.000222197	0.00028609	6968.1139264	747.043	1734.31519927
14	0.00028609	0.000367576	5603.97129381	564.226	1037.19825158
15	0.000367576	0.000471501	4192.27877432	569.741	812.046714382
16	0.000471501	0.000604045	3836.14793627	715.781	835.95376311
17	0.000604045	0.000773088	2805.7246144	956.678	963.022657518
18	0.000773088	0.000988681	2503.84	1067.96	1005.76309533
19	0.000988681	0.00126364	2503.84	848.121	834.876490551
20	0.00126364	0.00161432	2503.84	570.411	582.135879108
21	0.00161432	0.00206157	2503.84	403.96	407.931467621
22	0.00206157	0.00263197	2503.84	325.597	315.360892884
23	0.00263197	0.00335945	2503.84	309.864	281.541800901
24	0.00335945	0.00428725	2503.84	338.063	297.997265404
25	0.00428725	0.00547055	2503.84	404.293	379.706652997
26	0.00547055	0.0069797	2503.84	526.574	403.599262862
27	0.0069797	0.00890443	2503.84	793.018	392.403895394
28	0.00890443	0.0113592	2503.84	793.018	386.855
29	0.0113592	0.0144899	2503.84	977.009	386.855
30	0.0144899	0.0184827	2503.84	977.009	386.855
31	0.0184827	0.0739308	2503.84	977.009	386.855
