time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.8218e-07	3.12872e-06	477.76706878	1405.54	282.638816539
1	3.12872e-06	7.11901e-06	1443.06225743	1405.54	3349.09920861
2	7.11901e-06	1.22081e-05	1360.36209315	1527.26	2415.47081994
3	1.22081e-05	1.86986e-05	4940.60371524	755.14	1042.5850626
4	1.86986e-05	2.69765e-05	10460.0215093	1182.37	1185.3612633
5	2.69765e-05	3.75338e-05	14403.7189757	1463.95	1814.99560515
6	3.75338e-05	5.09983e-05	16697.6041688	1076.97	2327.75340323
7	5.09983e-05	6.81706e-05	16439.9575865	600.02	1989.853808
8	6.81706e-05	9.00717e-05	14096.6110689	365.549	1467.3069529
9	9.00717e-05	0.000118004	11685.7869229	326.094	1497.35204601
10	0.000118004	0.000153627	9971.97409522	423.361	2114.72881363
11	0.000153627	0.000199061	8705.8983253	466.791	2463.70578174
12	0.000199061	0.000257006	7532.61303342	371.986	1744.91847998
13	0.000257006	0.000330907	6250.48599791	347.903	936.628064393
14	0.000330907	0.000425159	4815.98324865	421.946	621.787872477
15	0.000425159	0.000545365	4061.6	583.286	630.815908829
16	0.000545365	0.000698672	4278.57909233	802.525	786.455488146
17	0.000698672	0.000894196	4564.18257843	977.401	940.596851533
18	0.000894196	0.00114356	4566.76	918.128	927.087907862
19	0.00114356	0.0014616	4566.76	680.03	727.842248796
20	0.0014616	0.00186721	4566.76	476.075	510.714817846
21	0.00186721	0.00238452	4566.76	354.827	375.210298236
22	0.00238452	0.00304428	4566.76	303.9	311.857496568
23	0.00304428	0.00388572	4566.76	310.995	301.163963094
24	0.00388572	0.00495888	4566.76	369.724	344.517421916
25	0.00495888	0.00632755	4566.76	481.495	460.876434748
26	0.00632755	0.00807311	4566.76	609.732	489.087774491
27	0.00807311	0.0102994	4566.76	676.942	538.231516514
28	0.0102994	0.0131387	4566.76	676.942	555.533
29	0.0131387	0.0167598	4566.76	444.068	555.533
30	0.0167598	0.0213781	4566.76	444.068	555.533
31	0.0213781	0.0855124	4566.76	444.068	555.533
