time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.7552e-07	3.10208e-06	149.9889384	1249.99	227.414677727
1	3.10208e-06	7.05839e-06	679.337886031	1249.99	3006.89875669
2	7.05839e-06	1.21042e-05	3020.00902479	1290.9	2436.19702335
3	1.21042e-05	1.85394e-05	10278.4968401	910.246	1222.55536383
4	1.85394e-05	2.67467e-05	16577.7115132	1232.44	1529.10504968
5	2.67467e-05	3.72142e-05	17994.5425128	1477.04	2060.00576272
6	3.72142e-05	5.0564e-05	16301.655214	1097.94	2270.66249994
7	5.0564e-05	6.75901e-05	13870.9874222	609.149	1849.38536701
8	6.75901e-05	8.93046e-05	11997.000326	366.679	1453.99560839
9	8.93046e-05	0.000116999	10691.5672434	334.936	1635.98435793
10	0.000116999	0.000152319	9558.19484239	447.721	2465.38865554
11	0.000152319	0.000197366	8338.075728	492.736	3245.06104087
12	0.000197366	0.000254817	7049.60926762	403.992	2734.70116608
13	0.000254817	0.000328089	5660.59089157	361.381	1460.99891816
14	0.000328089	0.000421538	4114.35747956	418.077	830.379816391
15	0.000421538	0.00054072	3428.63	573.704	701.574379167
16	0.00054072	0.000692722	3634.61277984	795.338	795.35718372
17	0.000692722	0.000886582	3835.15	978.153	934.496662463
18	0.000886582	0.00113382	3835.15	930.163	923.518882403
19	0.00113382	0.00144915	3835.15	694.163	722.121096197
20	0.00144915	0.00185131	3835.15	488.524	493.733264425
21	0.00185131	0.00236421	3835.15	368.344	327.598180978
22	0.00236421	0.00301836	3835.15	315.623	231.625713051
23	0.00301836	0.00385263	3835.15	312.847	207.613742026
24	0.00385263	0.00491665	3835.15	351.762	605.490987723
25	0.00491665	0.00627366	3835.15	444.433	884.324
26	0.00627366	0.00800436	3835.15	603.943	476.584792796
27	0.00800436	0.0102116	3835.15	733.342	6.92030359926
28	0.0102116	0.0130268	3835.15	733.342	5.09155
29	0.0130268	0.0166171	3835.15	853.67	5.09155
30	0.0166171	0.0211961	3835.15	853.67	5.09155
31	0.0211961	0.0847844	3835.15	853.67	5.09155
