time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	4.047475e-08	1.61899e-07	595594.188335	124117.0	192244.374216
1	1.61899e-07	3.68381e-07	595618.0	124117.0	194753.0
2	3.68381e-07	6.31722e-07	518203.259796	124117.0	190216.227981
3	6.31722e-07	9.67581e-07	69513.2478251	124117.0	43715.9409284
4	9.67581e-07	1.39593e-06	714.187910696	124117.0	14.311
5	1.39593e-06	1.94223e-06	16.7973734367	10.6306	14.311
6	1.94223e-06	2.63896e-06	16.4204	10.6306	14.311
7	2.63896e-06	3.52756e-06	16.4204	10.6306	14.311
8	3.52756e-06	4.66085e-06	16.4204060082	10.6306	14.311
9	4.66085e-06	6.10623e-06	24.0799818585	10.6306	47.4607276672
10	6.10623e-06	7.94962e-06	161.936217224	10.6306	326.013518139
11	7.94962e-06	1.03006e-05	917.239496612	10.6306	1474.48793141
12	1.03006e-05	1.3299e-05	3240.65381924	10.6306	4314.44737231
13	1.3299e-05	1.71231e-05	7480.07777859	86.6301	8815.01382891
14	1.71231e-05	2.20003e-05	12404.3668652	528.76	13549.9939569
15	2.20003e-05	2.82205e-05	16592.2521455	1779.65	16813.8603942
16	2.82205e-05	3.61535e-05	19946.6922038	4479.03	18138.5006938
17	3.61535e-05	4.62711e-05	22863.0433729	8756.47	18396.0388894
18	4.62711e-05	5.91749e-05	24764.344385	13664.6	18262.2251086
19	5.91749e-05	7.56319e-05	24416.0679746	17625.2	17705.1513501
20	7.56319e-05	9.66208e-05	21856.5394062	18735.0	16503.0458385
21	9.66208e-05	0.00012339	18634.0684013	16713.5	15020.4703592
22	0.00012339	0.00015753	15497.1990927	14056.0	13609.9990829
23	0.00015753	0.000201071	12319.2829748	12061.9	12234.4816313
24	0.000201071	0.000256602	8662.16472065	10180.2	10997.1895349
25	0.000256602	0.000327426	3390.23294424	8026.74	5947.82795023
26	0.000327426	0.000417752	2649.9	5989.34	1233.02
27	0.000417752	0.000532951	2649.9	979.546	1233.02
28	0.000532951	0.000679873	2649.9	979.546	1233.02
29	0.000679873	0.000867254	2649.9	979.546	1233.02
30	0.000867254	0.00110623	2649.9	979.546	1233.02
31	0.00110623	0.00442492	2649.9	979.546	1233.02
