time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	3.450375e-08	1.38015e-07	320413.85454	128503.0	264787.381579
1	1.38015e-07	3.14035e-07	325642.0	128503.0	270250.0
2	3.14035e-07	5.38527e-07	328236.550049	128503.0	270250.0
3	5.38527e-07	8.24838e-07	518964.111311	128503.0	107169.62625
4	8.24838e-07	1.18999e-06	117610.847367	128503.0	15.3747
5	1.18999e-06	1.6557e-06	1215.72303315	12.4703	15.3747
6	1.6557e-06	2.24965e-06	20.1423450747	12.4703	15.3747
7	2.24965e-06	3.00716e-06	16.176	12.4703	15.3747
8	3.00716e-06	3.97326e-06	16.176	12.4703	15.3747
9	3.97326e-06	5.2054e-06	16.176	12.4703	22.367611968
10	5.2054e-06	6.77685e-06	22.4196417022	12.4703	119.459581383
11	6.77685e-06	8.78102e-06	120.237491414	12.4703	666.542540844
12	8.78102e-06	1.13371e-05	683.801262276	12.4703	2360.17692365
13	1.13371e-05	1.4597e-05	2345.14984368	33.3352	5683.17612151
14	1.4597e-05	1.87547e-05	5172.51538192	306.348	10475.5440064
15	1.87547e-05	2.40572e-05	8557.39354064	1664.7	16081.1921271
16	2.40572e-05	3.082e-05	12493.5907597	5522.81	21395.2744852
17	3.082e-05	3.9445e-05	17494.108341	12633.0	24985.7116048
18	3.9445e-05	5.04451e-05	23462.5621416	21808.9	25623.1573839
19	5.04451e-05	6.44743e-05	27875.8115712	26643.4	23334.9527714
20	6.44743e-05	8.23668e-05	27177.2952794	22839.8	19548.6097241
21	8.23668e-05	0.000105186	23321.4591478	17451.2	15900.6673029
22	0.000105186	0.00013429	19416.6046179	14036.7	13265.0301311
23	0.00013429	0.000171408	15752.318812	11726.4	11697.2543197
24	0.000171408	0.000218747	11723.3241655	9307.02	11345.3170853
25	0.000218747	0.000279122	6933.08893986	6903.55	9905.03121807
26	0.000279122	0.000356123	3085.53142975	4916.02	1797.31139654
27	0.000356123	0.000454327	2972.15	1737.66	910.385
28	0.000454327	0.000579575	2972.15	1737.66	910.385
29	0.000579575	0.000739312	2972.15	1737.66	910.385
30	0.000739312	0.000943037	2972.15	1737.66	910.385
31	0.000943037	0.003772148	2972.15	1737.66	910.385
