time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	3.27985e-08	1.31194e-07	553089.0	63566.7	173173.485894
1	1.31194e-07	2.98516e-07	553089.0	63566.7	183593.0
2	2.98516e-07	5.11913e-07	467674.528379	63566.7	183593.0
3	5.11913e-07	7.84075e-07	25928.1128172	63566.7	162157.187182
4	7.84075e-07	1.13118e-06	20.412200079	63566.7	20498.1169999
5	1.13118e-06	1.57387e-06	20.4122	13.1186	12.6436
6	1.57387e-06	2.13847e-06	20.4122	13.1186	12.6436
7	2.13847e-06	2.85854e-06	20.4122	13.1186	12.6436
8	2.85854e-06	3.7769e-06	20.4122	13.1186	12.6436
9	3.7769e-06	4.94815e-06	23.2148195352	13.1186	12.6436
10	4.94815e-06	6.44194e-06	84.2915036601	13.1186	21.9993539305
11	6.44194e-06	8.34707e-06	561.218273125	13.1186	124.481750618
12	8.34707e-06	1.07768e-05	2310.70453161	16.7296	624.083637612
13	1.07768e-05	1.38757e-05	6106.17426822	182.288	2086.51881828
14	1.38757e-05	1.78278e-05	11665.3056568	1021.6	4952.24557067
15	1.78278e-05	2.28683e-05	17714.3703975	3420.11	9049.72985319
16	2.28683e-05	2.92969e-05	22970.5288838	7953.11	13630.1837448
17	2.92969e-05	3.74956e-05	26848.0743354	14509.1	17676.782153
18	3.74956e-05	4.79521e-05	28679.3240376	21414.5	19971.3173668
19	4.79521e-05	6.1288e-05	27942.5085355	24114.4	19752.1641463
20	6.1288e-05	7.82963e-05	25168.1043862	21221.7	17644.6128146
21	7.82963e-05	9.99881e-05	21670.9624245	16929.5	15028.1287011
22	9.99881e-05	0.000127653	18498.3624202	13242.8	12819.6684721
23	0.000127653	0.000162937	16374.4494517	10508.0	11229.3891082
24	0.000162937	0.000207937	12822.3199048	8706.43	10284.9365641
25	0.000207937	0.000265328	1911.39855393	7424.61	10564.9570075
26	0.000265328	0.000338523	480.534	6628.02	9792.00611352
27	0.000338523	0.000431875	480.534	853.029	1311.78115396
28	0.000431875	0.000550932	480.534	853.029	328.188
29	0.000550932	0.000702776	480.534	853.029	328.188
30	0.000702776	0.000896432	480.534	853.029	328.188
31	0.000896432	0.003585728	480.534	853.029	328.188
