time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.599825e-07	3.03993e-06	22.1390153176	602.086	296.650195218
1	3.03993e-06	6.91698e-06	626.645285871	602.086	2714.02086499
2	6.91698e-06	1.18617e-05	1214.69320523	1860.96	2087.72650235
3	1.18617e-05	1.8168e-05	2728.0476888	1258.01	1436.79027007
4	1.8168e-05	2.62109e-05	6037.79316716	1200.39	2109.92511631
5	2.62109e-05	3.64686e-05	10855.0506384	1277.17	2745.89871761
6	3.64686e-05	4.9551e-05	15979.9800436	1006.45	2638.03024261
7	4.9551e-05	6.62359e-05	17715.7545377	587.375	2039.37112233
8	6.62359e-05	8.75155e-05	15105.1137925	372.823	1636.43484645
9	8.75155e-05	0.000114655	12183.212066	359.299	1749.76024282
10	0.000114655	0.000149268	10899.7051839	477.472	2586.92008594
11	0.000149268	0.000193412	10259.8982786	520.251	3448.67275027
12	0.000193412	0.000249712	9284.64240559	413.353	2988.65676955
13	0.000249712	0.000321516	7927.64444427	357.861	1615.82272103
14	0.000321516	0.000413093	6382.8759818	411.115	874.080287483
15	0.000413093	0.000529887	5199.50333683	561.916	701.489997849
16	0.000529887	0.000678844	3815.40281264	780.573	778.043281436
17	0.000678844	0.000868819	581.493175232	983.149	914.491558751
18	0.000868819	0.00111111	406.619	966.762	925.18369691
19	0.00111111	0.00142012	406.619	731.413	740.058379109
20	0.00142012	0.00181422	406.619	512.298	517.715478025
21	0.00181422	0.00231685	406.619	381.533	371.29688413
22	0.00231685	0.00295789	406.619	325.118	299.579109068
23	0.00295789	0.00377545	406.619	325.938	283.56008308
24	0.00377545	0.00481814	406.619	369.044	361.065661046
25	0.00481814	0.00614797	406.619	445.068	401.88780631
26	0.00614797	0.007844	406.619	564.164	318.671104567
27	0.007844	0.0100071	406.619	769.313	248.531
28	0.0100071	0.0127658	406.619	769.313	248.531
29	0.0127658	0.0162842	406.619	1321.41	248.531
30	0.0162842	0.0207714	406.619	1321.41	248.531
31	0.0207714	0.0830856	406.619	1321.41	248.531
