time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	3.548125e-08	1.41925e-07	470320.495551	88009.8	246219.477995
1	1.41925e-07	3.22932e-07	472252.0	88009.8	251465.0
2	3.22932e-07	5.53784e-07	426417.088391	88009.8	251465.0
3	5.53784e-07	8.48207e-07	44288.7916522	88009.8	104336.561949
4	8.48207e-07	1.22371e-06	154.386805446	88009.8	14.83
5	1.22371e-06	1.70261e-06	18.7915656583	12.1267	14.83
6	1.70261e-06	2.31338e-06	17.9725	12.1267	14.83
7	2.31338e-06	3.09235e-06	17.9725	12.1267	14.83
8	3.09235e-06	4.08583e-06	18.3583529049	12.1267	14.83
9	4.08583e-06	5.35288e-06	38.057064398	12.1267	17.0148747161
10	5.35288e-06	6.96884e-06	307.913160886	12.1267	58.3856297243
11	6.96884e-06	9.0298e-06	1721.72681315	12.1267	357.327487674
12	9.0298e-06	1.16583e-05	5609.42397694	16.9491	1470.61707495
13	1.16583e-05	1.50106e-05	11952.3894081	137.776	4178.9104661
14	1.50106e-05	1.9286e-05	18934.3224168	729.39	8841.99318856
15	1.9286e-05	2.47388e-05	24353.4466867	2663.31	14855.8150214
16	2.47388e-05	3.16931e-05	26943.0924473	7052.57	20741.6538941
17	3.16931e-05	4.05625e-05	26746.2388875	14307.1	24711.3728464
18	4.05625e-05	5.18742e-05	24813.1410807	22391.1	25337.5840811
19	5.18742e-05	6.63009e-05	22264.2257088	24720.2	22867.9290407
20	6.63009e-05	8.47004e-05	19717.8882598	20556.4	18991.3411211
21	8.47004e-05	0.000108166	17436.9440012	15985.5	15217.2722207
22	0.000108166	0.000138095	15668.6302368	12681.6	12055.7298827
23	0.000138095	0.000176264	14555.5900903	10226.4	9422.52686874
24	0.000176264	0.000224944	13302.6101262	8063.62	7122.6471986
25	0.000224944	0.00028703	3392.75628829	6000.77	5051.0387792
26	0.00028703	0.000366212	651.834	4215.14	3244.28920811
27	0.000366212	0.000467199	651.834	1852.46	3034.05
28	0.000467199	0.000595995	651.834	1852.46	3034.05
29	0.000595995	0.000760258	651.834	1852.46	3034.05
30	0.000760258	0.000969754	651.834	1852.46	3034.05
31	0.000969754	0.003879016	651.834	1852.46	3034.05
