time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	5.357875e-08	2.14315e-07	11.3392517555	8.03061	9.01890984744
1	2.14315e-07	4.87647e-07	11.4295	8.03061	9.27891893081
2	4.87647e-07	8.36248e-07	11.4295	8.03065	9.27890521588
3	8.36248e-07	1.28084e-06	11.4295176173	8.03064	46.0445343749
4	1.28084e-06	1.84787e-06	20.4870182223	8.03061	452.540971391
5	1.84787e-06	2.57104e-06	116.031916216	93.7135	1361.49135974
6	2.57104e-06	3.49335e-06	398.113100154	1049.84	1732.42630007
7	3.49335e-06	4.66963e-06	752.920166913	3300.86	1389.27360986
8	4.66963e-06	6.16984e-06	1066.28591153	3537.22	1102.5834125
9	6.16984e-06	8.08317e-06	1548.61038162	1801.49	1254.79108929
10	8.08317e-06	1.05234e-05	2635.28879775	731.046	2045.46793436
11	1.05234e-05	1.36355e-05	4590.62148497	421.891	3777.84093051
12	1.36355e-05	1.76047e-05	7060.00324191	497.781	6417.24378103
13	1.76047e-05	2.26669e-05	9496.20271955	1085.2	9208.29592136
14	2.26669e-05	2.91231e-05	11827.5941388	2842.04	11493.3481135
15	2.91231e-05	3.73571e-05	14192.0988998	6274.62	12996.8858755
16	3.73571e-05	4.78585e-05	16199.2382249	10486.2	13425.1305417
17	4.78585e-05	6.12518e-05	16872.4015221	13313.6	12768.277904
18	6.12518e-05	7.83332e-05	15689.0870385	13286.6	11536.8091498
19	7.83332e-05	0.000100118	13615.6458643	11573.8	10352.1430576
20	0.000100118	0.000127903	11877.4368354	9987.71	9525.40351397
21	0.000127903	0.000163338	10675.5750595	8910.79	8932.67824202
22	0.000163338	0.000208531	9627.69847146	8063.87	8181.10860952
23	0.000208531	0.000266169	8516.96884671	7172.61	7033.95537447
24	0.000266169	0.000339679	7706.87108964	6021.17	5664.1100311
25	0.000339679	0.000433432	9705.2908939	4738.65	4411.9599514
26	0.000433432	0.000553002	10709.3456176	3577.87	3279.75364429
27	0.000553002	0.000705498	4639.05016043	2211.0	3018.19466414
28	0.000705498	0.000899988	18.2137	2211.0	3176.47816173
29	0.000899988	0.00114803	18.2137	2048.7	3251.38
30	0.00114803	0.00146439	18.2137	2048.7	3251.38
31	0.00146439	0.00585756	18.2137	2048.7	3251.38
