time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.771875e-07	3.10875e-06	609.510902507	1236.3	549.985398247
1	3.10875e-06	7.07356e-06	916.06004654	1236.3	3498.60959909
2	7.07356e-06	1.21302e-05	1472.95275399	1890.93	2083.29660159
3	1.21302e-05	1.85792e-05	5375.36015621	1210.47	1428.26168998
4	1.85792e-05	2.68042e-05	9599.40179264	1308.9	2073.1514046
5	2.68042e-05	3.72941e-05	13213.7848138	1380.29	2705.72741214
6	3.72941e-05	5.06727e-05	15924.8288063	998.324	2598.0254168
7	5.06727e-05	6.77353e-05	16056.5718816	570.264	1991.15839684
8	6.77353e-05	8.94965e-05	14002.3653262	368.703	1595.44351901
9	8.94965e-05	0.00011725	11932.2887729	349.364	1761.11415993
10	0.00011725	0.000152646	10563.867069	456.698	2681.28249303
11	0.000152646	0.00019779	9256.78372518	502.032	3480.56920671
12	0.00019779	0.000255365	7714.69132592	403.332	2859.65744745
13	0.000255365	0.000328794	6248.7592411	361.73	1517.02002452
14	0.000328794	0.000422444	4890.95290776	423.313	840.343947737
15	0.000422444	0.000541882	4095.8903799	575.398	699.578548694
16	0.000541882	0.000694211	3873.42598277	789.908	787.060429126
17	0.000694211	0.000888487	3508.65729679	978.151	922.330188417
18	0.000888487	0.00113626	3501.14	935.776	925.137949461
19	0.00113626	0.00145227	3501.14	693.636	728.113879569
20	0.00145227	0.00185529	3501.14	484.761	493.006567253
21	0.00185529	0.00236929	3501.14	364.715	337.782639317
22	0.00236929	0.00302484	3501.14	314.565	260.707581317
23	0.00302484	0.00386091	3501.14	316.287	263.571289224
24	0.00386091	0.00492721	3501.14	358.856	516.901525728
25	0.00492721	0.00628714	3501.14	443.948	602.979039477
26	0.00628714	0.00802156	3501.14	591.118	286.859586831
27	0.00802156	0.0102336	3501.14	759.208	100.475
28	0.0102336	0.0130548	3501.14	759.208	100.475
29	0.0130548	0.0166528	3501.14	1057.87	100.475
30	0.0166528	0.0212416	3501.14	1057.87	100.475
31	0.0212416	0.0849664	3501.14	1057.87	100.475
