time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.83975e-07	3.1359e-06	54.9082126374	1276.76	170.118687303
1	3.1359e-06	7.13533e-06	625.467229814	1276.76	2401.09926645
2	7.13533e-06	1.22361e-05	2089.59814402	2284.06	2471.81874151
3	1.22361e-05	1.87415e-05	6393.89962481	1203.91	1230.87342669
4	1.87415e-05	2.70383e-05	12483.3338458	1364.85	997.851812131
5	2.70383e-05	3.76198e-05	16898.1614308	1359.28	1441.01354373
6	3.76198e-05	5.11152e-05	17578.5744796	919.655	1792.58499159
7	5.11152e-05	6.83269e-05	15103.9686369	528.438	1546.46704061
8	6.83269e-05	9.02781e-05	12051.9932939	319.309	1256.6692081
9	9.02781e-05	0.000118274	9851.21023731	286.489	1407.50566593
10	0.000118274	0.00015398	8395.02270723	406.701	2112.70326327
11	0.00015398	0.000199517	7215.99183174	495.703	2503.67009144
12	0.000199517	0.000257595	6012.57154564	405.183	1779.33216972
13	0.000257595	0.000331666	4760.84244896	351.487	949.75345816
14	0.000331666	0.000426133	3538.93231647	415.685	624.07475034
15	0.000426133	0.000546615	2447.92482093	576.427	627.367558121
16	0.000546615	0.000700274	2225.45409958	791.604	780.080983223
17	0.000700274	0.000896246	1649.94317452	963.955	937.961854853
18	0.000896246	0.00114618	1546.53	919.422	934.63029625
19	0.00114618	0.00146495	1546.53	687.677	743.145876579
20	0.00146495	0.00187149	1546.53	480.576	525.666660416
21	0.00187149	0.00238999	1546.53	360.053	383.525598379
22	0.00238999	0.00305126	1546.53	309.295	313.721574312
23	0.00305126	0.00389463	1546.53	308.607	297.974077639
24	0.00389463	0.00497024	1546.53	345.117	333.589130418
25	0.00497024	0.00634205	1546.53	424.259	444.041103541
26	0.00634205	0.00809162	1546.53	548.726	468.778393334
27	0.00809162	0.010323	1546.53	651.389	473.91050205
28	0.010323	0.0131688	1546.53	651.389	475.802
29	0.0131688	0.0167982	1546.53	681.647	475.802
30	0.0167982	0.0214271	1546.53	681.647	475.802
31	0.0214271	0.0857084	1546.53	681.647	475.802
