time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	4.108725e-08	1.64349e-07	546.466180679	73464.8	153203.521668
1	1.64349e-07	3.73956e-07	67.6286140291	73464.8	26621.7186097
2	3.73956e-07	6.41283e-07	15.457841212	10.4721	13.7057
3	6.41283e-07	9.82225e-07	15.4577	10.4721	13.7057
4	9.82225e-07	1.41705e-06	15.4577	10.4721	13.7057
5	1.41705e-06	1.97162e-06	15.4577	10.4721	13.7057
6	1.97162e-06	2.6789e-06	15.4577	10.4721	13.7057
7	2.6789e-06	3.58095e-06	15.4577	10.4721	13.7057
8	3.58095e-06	4.73139e-06	15.5590517456	10.4721	19.1551660287
9	4.73139e-06	6.19864e-06	22.6321670407	10.4721	77.1279956663
10	6.19864e-06	8.06993e-06	166.180978962	10.4721	368.070981189
11	8.06993e-06	1.04565e-05	991.167812545	10.4721	1344.17281492
12	1.04565e-05	1.35003e-05	3367.67848716	11.7412	3671.34094598
13	1.35003e-05	1.73823e-05	7086.10216804	90.6878	7522.88190045
14	1.73823e-05	2.23333e-05	11089.5570561	474.204	11938.4060888
15	2.23333e-05	2.86476e-05	14813.2505945	1699.6	15428.1570289
16	2.86476e-05	3.67007e-05	18263.299883	4374.01	17373.0210781
17	3.67007e-05	4.69714e-05	21342.9182745	8570.85	18232.3027385
18	4.69714e-05	6.00705e-05	23404.0768735	13538.6	18425.1191259
19	6.00705e-05	7.67766e-05	23442.1006927	17520.5	17833.8466051
20	7.67766e-05	9.80831e-05	21247.6937048	18542.3	16348.7486127
21	9.80831e-05	0.000125257	17937.860404	16554.1	14420.1314737
22	0.000125257	0.000159914	14762.3464889	13692.6	12440.4378795
23	0.000159914	0.000204114	12226.1715658	11279.5	10432.4715004
24	0.000204114	0.000260486	11582.2981284	9070.64	8374.97598437
25	0.000260486	0.000332381	19901.7971743	6988.97	6258.47886837
26	0.000332381	0.000424074	21664.1021062	5328.69	4834.630335
27	0.000424074	0.000541017	6880.11857825	3395.14	4284.56728421
28	0.000541017	0.000690163	15.4577	3395.14	2987.0664551
29	0.000690163	0.00088038	15.4577	742.612	2904.4
30	0.00088038	0.00112298	15.4577	742.612	2904.4
31	0.00112298	0.00449192	15.4577	742.612	2904.4
