time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	8.29945e-07	3.31978e-06	1123.62043708	1574.95	720.779001194
1	3.31978e-06	7.55374e-06	887.94891421	1574.95	3481.29291595
2	7.55374e-06	1.29536e-05	1745.45598852	772.648	1385.66734719
3	1.29536e-05	1.98405e-05	5626.85115454	935.983	1151.85728152
4	1.98405e-05	2.86238e-05	9814.99430177	1109.22	1840.2328985
5	2.86238e-05	3.98258e-05	12379.2194972	1154.49	2198.08461234
6	3.98258e-05	5.41126e-05	12935.167212	922.488	2156.25918399
7	5.41126e-05	7.23335e-05	11831.4138148	546.925	1788.76402274
8	7.23335e-05	9.5572e-05	10234.1490369	330.855	1523.41170773
9	9.5572e-05	0.00012521	8955.43075067	294.37	1801.76009384
10	0.00012521	0.000163009	8078.06231485	391.76	2656.36046693
11	0.000163009	0.000211217	7274.50096415	452.648	3122.19623528
12	0.000211217	0.0002727	6265.46539317	366.222	2323.03993372
13	0.0002727	0.000351114	5074.02116034	340.118	1213.03210204
14	0.000351114	0.000451121	3947.27409257	423.435	747.324643433
15	0.000451121	0.000578668	2883.71939432	600.152	692.337837298
16	0.000578668	0.000741337	2614.96139682	830.698	811.633636379
17	0.000741337	0.000948801	2717.00445516	973.301	928.935904255
18	0.000948801	0.0012134	2764.64	848.809	863.672134782
19	0.0012134	0.00155085	2764.64	602.531	641.691142014
20	0.00155085	0.00198123	2764.64	425.776	429.151315171
21	0.00198123	0.00253013	2764.64	328.882	286.026342802
22	0.00253013	0.00323018	2764.64	286.763	207.889158261
23	0.00323018	0.00412301	2764.64	283.095	209.362851322
24	0.00412301	0.00526169	2764.64	309.801	651.865438838
25	0.00526169	0.00671394	2764.64	365.501	853.692310591
26	0.00671394	0.0085661	2764.64	445.582	364.7751389
27	0.0085661	0.0109283	2764.64	463.898	1.14736
28	0.0109283	0.013941	2764.64	463.898	1.14736
29	0.013941	0.0177833	2764.64	54.2383	1.14736
30	0.0177833	0.0226836	2764.64	54.2383	1.14736
31	0.0226836	0.0907344	2764.64	54.2383	1.14736
