time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.697225e-07	3.07889e-06	127.844907962	1258.41	96.0808905528
1	3.07889e-06	7.00562e-06	1067.60041101	1258.41	3082.41039683
2	7.00562e-06	1.20137e-05	2361.39286621	1781.23	2706.67986094
3	1.20137e-05	1.84008e-05	6436.71362817	897.991	1000.11103903
4	1.84008e-05	2.65468e-05	12677.4902182	1059.74	1114.04300843
5	2.65468e-05	3.69359e-05	17291.7543801	1296.38	1624.04889104
6	3.69359e-05	5.0186e-05	17836.0030655	1248.98	1983.74526318
7	5.0186e-05	6.70848e-05	15224.000774	899.345	2250.18964448
8	6.70848e-05	8.8637e-05	12206.9851614	514.847	2765.60177918
9	8.8637e-05	0.000116124	10086.4720363	302.05	3700.44627915
10	0.000116124	0.00015118	8658.57416338	226.925	4224.79396062
11	0.00015118	0.00019589	7455.78533352	216.864	3575.2910509
12	0.00019589	0.000252912	6237.2314182	254.661	2358.25416458
13	0.000252912	0.000325636	5100.26647435	360.568	1501.29310437
14	0.000325636	0.000418387	4214.71772369	527.429	1134.61340212
15	0.000418387	0.000536678	3639.43771044	744.887	1027.42601854
16	0.000536678	0.000687544	3247.14808033	973.36	1038.96826979
17	0.000687544	0.000879954	1065.17149555	1100.89	1059.24614354
18	0.000879954	0.00112535	589.76	966.459	943.170784984
19	0.00112535	0.00143832	589.76	678.774	701.305679979
20	0.00143832	0.00183747	589.76	455.515	471.096957281
21	0.00183747	0.00234654	589.76	339.65	328.543599735
22	0.00234654	0.00299579	589.76	300.875	270.359023828
23	0.00299579	0.00382383	589.76	307.076	357.484861755
24	0.00382383	0.00487989	589.76	338.238	527.259736627
25	0.00487989	0.00622676	589.76	401.157	436.168154135
26	0.00622676	0.00794452	589.76	518.704	165.377977823
27	0.00794452	0.0101353	589.76	699.622	144.066
28	0.0101353	0.0129294	589.76	699.622	144.066
29	0.0129294	0.0164929	589.76	789.02	144.066
30	0.0164929	0.0210376	589.76	789.02	144.066
31	0.0210376	0.0841504	589.76	789.02	144.066
