time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	6.24415e-08	2.49766e-07	9.51137644309	6.89082	9.59779200063
1	2.49766e-07	5.6831e-07	9.60544414015	6.89082	9.68534799789
2	5.6831e-07	9.74574e-07	9.60548894711	6.89081	9.6853632859
3	9.74574e-07	1.49271e-06	19.0158537398	10.4612	22.612411348
4	1.49271e-06	2.15353e-06	182.659647178	287.719	232.919780514
5	2.15353e-06	2.99632e-06	797.059031613	1597.07	961.866261402
6	2.99632e-06	4.07119e-06	1486.14011827	2660.99	1657.36959004
7	4.07119e-06	5.44205e-06	1602.68496906	1886.83	1626.58945219
8	5.44205e-06	7.19041e-06	1493.81013778	853.71	1416.19984465
9	7.19041e-06	9.42022e-06	1759.11202327	389.933	1698.86230586
10	9.42022e-06	1.22641e-05	2765.96441158	267.606	2880.20487964
11	1.22641e-05	1.5891e-05	4650.2708387	326.238	5230.63132866
12	1.5891e-05	2.05168e-05	7105.71114796	633.006	8380.47631741
13	2.05168e-05	2.64163e-05	9676.39760144	1508.82	11204.2182842
14	2.64163e-05	3.39404e-05	12131.2363986	3486.32	12883.0590182
15	3.39404e-05	4.35364e-05	14020.0247516	6777.72	13552.4274055
16	4.35364e-05	5.57749e-05	14504.0707372	10429.1	13517.558622
17	5.57749e-05	7.13836e-05	13375.8665571	12489.7	12851.2541654
18	7.13836e-05	9.12905e-05	11535.0354126	11858.5	11707.5193263
19	9.12905e-05	0.000116679	9874.35198296	9705.44	10478.3542202
20	0.000116679	0.000149059	8546.16885538	7752.55	9478.45641139
21	0.000149059	0.000190356	7452.18888689	6541.9	8632.90255099
22	0.000190356	0.000243025	6495.56513264	5904.85	7614.89327161
23	0.000243025	0.000310197	5683.29913302	5443.84	6352.55685647
24	0.000310197	0.000395867	5312.14722742	4771.02	5085.40446337
25	0.000395867	0.000505127	9682.39056419	3891.01	3709.91966661
26	0.000505127	0.000644476	12517.0	3071.07	3158.24558863
27	0.000644476	0.000822197	6388.19982965	2664.98	2657.67180266
28	0.000822197	0.00104886	11.368	2664.98	2197.74
29	0.00104886	0.00133793	11.368	12.8676	2197.74
30	0.00133793	0.00170662	11.368	12.8676	2197.74
31	0.00170662	0.00682648	11.368	12.8676	2197.74
