time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	7.601375e-07	3.04055e-06	533.683197559	1541.86	404.178778511
1	3.04055e-06	6.91839e-06	1289.04847496	1541.86	2134.53197485
2	6.91839e-06	1.18641e-05	1238.86256092	394.731	763.906054015
3	1.18641e-05	1.81717e-05	4004.74674293	622.517	685.203614383
4	1.81717e-05	2.62162e-05	7992.35454041	803.103	1162.33761633
5	2.62162e-05	3.6476e-05	11560.0359724	572.681	1340.43276748
6	3.6476e-05	4.95611e-05	14064.5852913	365.09	1227.53557943
7	4.95611e-05	6.62494e-05	13854.820269	288.884	1197.24045847
8	6.62494e-05	8.75333e-05	11852.3656932	344.41	1457.8857743
9	8.75333e-05	0.000114678	9967.7777115	618.868	2146.33320411
10	0.000114678	0.000149298	8594.68877503	1080.51	3029.69555869
11	0.000149298	0.000193451	7500.180537	1167.9	3203.06330727
12	0.000193451	0.000249763	6429.17018783	855.843	2317.76987713
13	0.000249763	0.000321582	5231.13611361	594.614	1377.06289561
14	0.000321582	0.000413177	4062.68392154	525.771	908.623632555
15	0.000413177	0.000529996	3020.89850115	607.805	795.89858653
16	0.000529996	0.000678983	2661.81207748	803.913	870.953322816
17	0.000678983	0.000868997	2657.19605151	993.715	967.296857017
18	0.000868997	0.00111134	2653.73	910.074	893.323876802
19	0.00111134	0.00142041	2653.73	626.073	667.887611992
20	0.00142041	0.00181459	2653.73	413.847	453.013001428
21	0.00181459	0.00231732	2653.73	306.844	329.352628582
22	0.00231732	0.00295849	2653.73	264.398	276.434787873
23	0.00295849	0.00377622	2653.73	259.862	269.984495591
24	0.00377622	0.00481913	2653.73	276.745	300.765642627
25	0.00481913	0.00614923	2653.73	306.725	352.264954229
26	0.00614923	0.0078456	2653.73	325.44	326.56674475
27	0.0078456	0.0100091	2653.73	287.64	175.001725101
28	0.0100091	0.0127684	2653.73	287.64	149.336
29	0.0127684	0.0162875	2653.73	0.884716	149.336
30	0.0162875	0.0207757	2653.73	0.884716	149.336
31	0.0207757	0.0831028	2653.73	0.884716	149.336
