time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	3.55495e-08	1.42198e-07	641208.833342	171771.0	250070.913058
1	1.42198e-07	3.23554e-07	649151.0	171771.0	255284.0
2	3.23554e-07	5.5485e-07	633296.941274	171771.0	255284.0
3	5.5485e-07	8.49839e-07	178359.294414	171771.0	102737.658112
4	8.49839e-07	1.22606e-06	6832.52811239	171771.0	14.8836
5	1.22606e-06	1.70588e-06	57.695864261	12.1034	14.8836
6	1.70588e-06	2.31783e-06	16.4147	12.1034	14.8836
7	2.31783e-06	3.0983e-06	16.4147	12.1034	14.8836
8	3.0983e-06	4.09369e-06	16.4147	12.1034	14.8836
9	4.09369e-06	5.36318e-06	16.4147	12.1034	17.2157966288
10	5.36318e-06	6.98225e-06	43.2320808665	12.1034	60.6392226229
11	6.98225e-06	9.04717e-06	406.688384565	12.1034	366.932104327
12	9.04717e-06	1.16807e-05	2090.81709432	15.8291	1483.95856945
13	1.16807e-05	1.50395e-05	5783.82134709	119.177	4174.53907032
14	1.50395e-05	1.93231e-05	10239.1169921	647.886	8802.02467651
15	1.93231e-05	2.47864e-05	14010.7713224	2522.96	14835.849822
16	2.47864e-05	3.17541e-05	17120.3032819	6979.48	20860.3184213
17	3.17541e-05	4.06405e-05	19869.5896381	14277.1	24985.137932
18	4.06405e-05	5.19741e-05	22166.7086216	22199.6	25566.3255116
19	5.19741e-05	6.64285e-05	23237.9911767	24807.5	22948.6834874
20	6.64285e-05	8.48633e-05	22423.42829	21100.7	19034.8858743
21	8.48633e-05	0.000108375	20332.6074612	16420.4	15328.6308568
22	0.000108375	0.00013836	18590.4947967	12824.4	12207.7682199
23	0.00013836	0.000176603	18978.0667104	10146.5	9532.47716856
24	0.000176603	0.000225377	36112.1929085	7782.38	7175.74440089
25	0.000225377	0.000287582	23364.6907418	5680.01	5051.0165806
26	0.000287582	0.000366917	16.4147	4050.63	3196.46350771
27	0.000366917	0.000468098	16.4147	2097.9	2999.2
28	0.000468098	0.000597142	16.4147	2097.9	2999.2
29	0.000597142	0.000761721	16.4147	2097.9	2999.2
30	0.000761721	0.00097162	16.4147	2097.9	2999.2
31	0.00097162	0.00388648	16.4147	2097.9	2999.2
