time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	6.914075e-07	2.76563e-06	221.482923129	811.336	61.5588378943
1	2.76563e-06	6.29283e-06	918.07460575	811.336	1519.36455744
2	6.29283e-06	1.07913e-05	1024.96106019	1694.21	1856.77328116
3	1.07913e-05	1.65286e-05	3732.94409552	1191.43	1402.59004879
4	1.65286e-05	2.38458e-05	7952.94843638	1092.56	2487.98563484
5	2.38458e-05	3.31779e-05	11666.3504544	806.551	3154.85589097
6	3.31779e-05	4.50798e-05	14982.7459727	452.792	2419.70344113
7	4.50798e-05	6.02592e-05	16506.4399087	281.188	2038.64828556
8	6.02592e-05	7.96186e-05	15059.1166545	279.864	1922.16967602
9	7.96186e-05	0.000104309	12421.422401	482.132	2372.43681483
10	0.000104309	0.000135799	10380.8086303	1022.45	3268.93898054
11	0.000135799	0.000175959	8950.8634699	1395.99	3735.40869841
12	0.000175959	0.00022718	7677.58044887	1073.55	2962.35959034
13	0.00022718	0.000292504	6700.88236156	697.848	1735.04680178
14	0.000292504	0.000375818	7688.3181669	551.614	1047.58065637
15	0.000375818	0.000482073	15976.3344522	569.186	819.319831786
16	0.000482073	0.000617589	16371.4024149	713.72	840.238581603
17	0.000617589	0.000790422	3710.83076724	936.368	961.727851095
18	0.000790422	0.00101085	10.9706	1017.0	979.76292276
19	0.00101085	0.00129198	10.9706	803.392	790.280536222
20	0.00129198	0.00165052	10.9706	546.569	550.204746311
21	0.00165052	0.00210779	10.9706	392.0	387.781541371
22	0.00210779	0.00269098	10.9706	318.864	310.837615032
23	0.00269098	0.00343477	10.9706	301.727	293.059546016
24	0.00343477	0.00438338	10.9706	324.848	336.333388613
25	0.00438338	0.00559321	10.9706	383.597	380.858013043
26	0.00559321	0.0071362	10.9706	496.385	388.995480929
27	0.0071362	0.00910408	10.9706	739.737	403.210284448
28	0.00910408	0.0116139	10.9706	739.737	403.621
29	0.0116139	0.0148148	10.9706	1292.06	403.621
30	0.0148148	0.0188971	10.9706	1292.06	403.621
31	0.0188971	0.0755884	10.9706	1292.06	403.621
