relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.036958	1.0E-6	0.018525	0.055048	0.087151	3.68E-4	0.050034	0.02224	0.009469	0.593843	0.063847	0.022918	0.039598	
0.042163	0.0	0.148613	0.0042	0.0	0.0	0.0	5.0E-6	0.001363	0.615748	0.091786	0.0	0.096121	
0.006913	0.0	0.029	7.26E-4	0.076468	2.0E-5	0.041062	1.57E-4	0.038971	0.634821	0.105268	0.030924	0.035671	
0.033359	0.0	0.084915	1.2E-5	0.070408	0.080902	8.43E-4	0.034905	0.029267	0.60268	0.055354	0.004108	0.003246	
0.029618	0.0	0.016819	0.09202	0.059159	1.5E-5	0.017949	0.02604	0.034847	0.608812	0.054856	0.012713	0.047152	
0.038936	0.0	0.002184	8.0E-6	0.0	3.87E-4	0.198663	0.001074	0.0	0.624854	0.073384	0.022915	0.037594	
0.044285	0.0	0.055781	0.029148	0.034348	1.37E-4	0.044971	0.002882	0.035476	0.639991	0.051707	0.026829	0.034445	
0.017533	0.0	0.095423	0.008889	5.46E-4	0.057884	0.013826	2.0E-6	0.070019	0.611672	0.05811	0.006519	0.059576	
0.026938	0.0	0.028688	0.0	0.06197	0.03491	0.058463	0.0	0.046028	0.6264	0.045492	0.01982	0.05129	
0.018896	0.0	0.093721	0.017515	0.093479	2.6E-5	0.02706	1.62E-4	0.046389	0.619019	0.053861	0.009974	0.019897	
