relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.059596	1.09E-4	0.002042	0.047974	0.055185	0.01145	0.014717	0.036469	0.018157	0.62291	0.08566	0.015719	0.030014	
0.021771	0.0	0.0	0.0	0.147341	1.4E-5	0.081193	0.001322	0.024994	0.622337	0.090103	0.01092	6.0E-6	
0.010428	0.0	0.071547	0.021765	0.010268	1.0E-6	0.007525	0.011096	0.053204	0.692206	0.059377	0.0	0.062584	
0.0	2.0E-6	0.0	0.080108	6.0E-6	0.024346	0.142371	3.0E-6	0.038455	0.605854	0.108856	0.0	0.0	
0.021739	0.0	0.062141	0.0	0.062177	7.0E-5	0.065665	3.83E-4	0.055235	0.61499	0.040333	0.013536	0.063732	
0.036007	1.0E-6	0.00161	1.9E-5	0.089005	0.010346	0.080926	0.060696	6.0E-6	0.607652	0.097945	0.015484	3.04E-4	
0.073451	0.0	0.052368	0.0	8.01E-4	0.0135	0.047957	0.023885	0.0	0.681388	0.070313	4.0E-5	0.036296	
0.044443	0.0	0.080543	0.031033	0.035714	0.011959	0.045914	1.1E-5	0.032975	0.603072	0.059753	0.022822	0.031761	
