relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.017821	0.022859	0.023088	1.14E-4	0.079266	0.023383	0.054501	1.14E-4	0.029679	0.609393	0.066326	0.024987	0.048468	
0.079453	0.0	0.0	0.055709	0.153458	0.0	0.0	0.0	0.038712	0.592495	0.071738	0.0	0.008435	
0.03472	0.0	0.108668	4.0E-6	0.056244	0.0	0.0	0.047526	0.053993	0.591974	0.064694	0.006989	0.035189	
0.034248	0.0	0.11208	0.003416	0.03688	1.8E-5	0.047383	0.0	0.0	0.592043	0.093665	0.0	0.080267	
0.033232	1.1E-5	0.065451	0.030447	0.098086	2.2E-5	0.009521	0.008393	0.031909	0.591953	0.047723	0.039878	0.043372	
0.028046	0.0	0.132889	1.1E-5	0.01306	0.0	0.115769	0.0	8.4E-5	0.557145	0.068024	0.047948	0.037024	
0.032295	0.0	0.086044	0.0	2.52E-4	0.036232	0.023053	0.037467	0.048532	0.593984	0.071781	0.034687	0.035674	
0.012851	0.0	0.100143	0.0	0.0	0.077339	0.015368	0.0	0.0	0.642953	0.104028	0.0069	0.040418	
0.030169	0.0	0.038986	0.002194	0.019642	0.102765	0.021259	2.3E-5	0.04045	0.627789	0.062101	0.024787	0.029835	
0.031972	0.0	0.083614	3.76E-4	0.053446	0.006232	0.0	0.091949	0.0	0.605233	0.020296	0.022365	0.084516	
