relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.054416	0.0	0.111918	0.006413	0.026891	0.0	0.0	0.024275	0.0	0.587196	0.123619	0.033641	0.03163	
0.006248	0.0	0.011542	0.0	0.036062	0.0	0.112838	0.01076	0.086682	0.697789	0.0	0.038078	0.0	
0.009711	1.0E-6	0.008136	0.017566	0.061705	0.05883	0.030076	0.040375	0.00102	0.628901	0.087379	0.013843	0.042456	
0.012114	0.0	0.202181	0.0	9.2E-5	0.02813	0.019064	0.0	0.082398	0.579514	0.04435	0.005386	0.02677	
0.039013	0.0	0.023617	0.049915	0.057436	0.024258	0.034094	5.0E-6	0.053478	0.585148	0.067602	0.017921	0.047514	
0.053577	0.0	0.260894	8.0E-6	6.0E-6	2.38E-4	0.039956	0.017157	0.005308	0.530031	0.082931	0.008804	0.001089	
0.018288	0.0	0.116664	0.0	3.7E-5	3.0E-6	0.076049	0.086076	7.84E-4	0.565218	0.131628	0.005254	0.0	
0.0127	6.0E-6	0.044316	0.023766	0.129863	0.004912	0.027565	0.018699	0.0	0.623232	0.080143	0.021829	0.01297	
0.027775	0.0	0.119086	0.0	0.048634	1.7E-5	0.027987	0.034114	0.004076	0.626393	0.052695	0.015458	0.043764	
0.045448	0.0	0.088152	0.006984	0.032234	0.03166	0.064802	6.28E-4	0.03495	0.581708	0.058339	0.02874	0.026356	
