relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.03764	0.0	0.062805	1.41E-4	0.092612	0.017976	0.048854	1.86E-4	5.0E-5	0.632548	0.068729	0.002407	0.036052	
0.011791	0.006978	0.002676	0.005539	0.154246	0.0	1.0E-6	1.0E-6	0.011077	0.66547	0.11855	0.023671	0.0	
0.0	6.0E-6	0.025174	9.1E-5	5.57E-4	0.003298	0.087567	0.082309	5.01E-4	0.68003	0.098687	0.02178	0.0	
0.04765	0.036375	0.06364	1.0E-6	0.0	0.040766	0.012737	0.042866	1.7E-5	0.667486	0.063986	0.024477	0.0	
0.046131	0.0	0.045599	1.9E-5	5.24E-4	0.0	0.039549	1.63E-4	0.165345	0.601267	0.080086	0.0	0.021317	
6.64E-4	0.0	0.0	0.0	0.140303	0.0	0.092082	0.0	0.025508	0.610954	0.080157	0.03642	0.013911	
0.027968	0.0	0.007347	3.18E-4	0.052027	0.049064	0.047184	0.029842	0.013584	0.615736	0.074488	0.035548	0.046894	
0.432483	0.0	0.005163	0.0	0.071683	0.085402	7.5E-5	0.0	0.0	0.360001	0.002092	0.043101	0.0	
0.044086	0.0	0.009073	1.15E-4	0.119632	0.082392	0.002195	0.005296	0.037361	0.625616	0.046894	6.7E-5	0.027272	
0.020214	0.023424	0.02405	0.112471	8.23E-4	0.008753	3.89E-4	0.0	0.104999	0.605476	0.036871	0.062529	0.0	
