relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.015663	0.0	0.085455	9.9E-5	0.012816	0.01137	0.082983	0.0	0.029233	0.645443	0.087956	0.016307	0.012675	
0.019322	0.043031	9.4E-5	0.0	0.051682	0.001935	0.107246	0.0	0.038181	0.634795	0.074251	0.028962	5.0E-4	
0.063297	0.0	0.100732	0.0	2.0E-6	0.100102	0.002274	0.0	0.0	0.626996	0.075295	0.01156	0.019742	
0.034698	0.0	0.085591	0.008557	0.006624	0.029273	0.06707	0.038164	4.77E-4	0.574057	0.063503	0.038008	0.053977	
0.004645	0.030875	0.041781	7.03E-4	0.087145	0.059159	2.07E-4	0.017381	1.9E-5	0.652007	0.073273	0.006834	0.025971	
0.021148	0.0	0.083663	0.073177	0.011795	0.0	0.032395	1.0E-6	0.039948	0.5938	0.058632	0.0366	0.048841	
0.019872	0.0	0.020686	0.0	0.023171	0.057389	0.060539	0.025199	0.018696	0.653745	0.060497	0.016161	0.044044	
0.029394	0.0	0.100344	0.045681	0.052352	0.0	0.024675	5.71E-4	0.0	0.630366	0.06218	0.013207	0.041232	
0.028551	0.0	0.084659	0.037192	0.038961	0.0	0.046173	6.0E-6	0.020464	0.631896	0.060082	0.016565	0.035451	
0.072171	0.0	5.89E-4	1.0E-6	0.0	0.136116	1.92E-4	3.6E-5	0.046752	0.590056	0.047563	0.066156	0.040369	
