relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.0	0.064136	0.0	0.0	1.6E-5	0.0	0.0	0.131663	0.015436	0.685254	0.056535	0.04696	0.0	
0.065258	0.0	0.033975	0.004205	0.043417	0.015729	0.130843	0.011216	0.008853	0.602883	0.041123	0.042498	0.0	
0.015477	0.0	0.032968	0.097089	3.12E-4	1.96E-4	0.013109	0.0	0.093965	0.591755	0.083208	0.0	0.071921	
9.7E-5	0.007074	0.056793	0.0	0.093891	0.006663	0.0	1.7E-5	4.2E-5	0.674143	0.087438	6.48E-4	0.073193	
0.0	0.0	0.145747	0.0	1.2E-5	0.003644	0.047622	0.054475	0.06388	0.572811	0.070596	0.025437	0.015775	
0.019425	0.0	0.069704	0.0	0.015664	5.1E-5	0.116415	0.045715	0.040971	0.609461	0.049878	0.016331	0.016385	
0.015481	0.0	0.09309	1.0E-5	0.02543	1.16E-4	0.093044	0.002023	0.022133	0.614079	0.069071	0.032186	0.033338	
0.023284	0.011028	0.073795	0.031795	0.028352	0.019858	0.01767	0.04371	3.2E-5	0.631282	0.061831	0.025921	0.03144	
5.0E-6	0.0	9.85E-4	0.0	1.0E-5	0.095398	1.24E-4	0.131574	1.0E-6	0.719372	0.052337	1.92E-4	0.0	
0.016601	0.0	0.04181	7.0E-6	0.088037	0.042438	0.016708	6.1E-5	0.042408	0.612576	0.08531	0.033675	0.020368	
