relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.053738	1.0E-6	7.0E-6	0.0	0.003156	0.058972	0.073202	0.08259	0.0	0.631672	0.08637	0.010291	0.0	
0.013345	0.0	0.0	6.0E-6	0.0	0.134362	0.026754	0.025728	0.047426	0.61517	0.05786	0.051514	0.027834	
0.010891	1.73E-4	0.0	4.01E-4	0.038174	2.2E-5	0.12633	0.062802	0.0	0.685777	0.059123	0.0	0.016308	
0.032786	0.0	0.090721	0.02092	0.057594	0.008676	0.047006	9.0E-6	0.0446	0.578208	0.070429	0.006669	0.042381	
0.020528	0.0	0.046363	0.0	0.139537	0.044444	0.0	0.0	0.0	0.66035	0.037952	0.031712	0.019114	
0.045946	3.7E-5	0.112023	1.0E-6	0.004604	0.07242	2.37E-4	0.00816	0.045291	0.553935	0.078633	0.020776	0.057938	
0.031559	0.0	0.0	0.0	0.082807	0.084365	0.0	0.038907	0.033331	0.596496	0.071554	0.022872	0.038108	
0.009143	0.0	0.092431	0.0	0.07657	4.7E-5	7.0E-6	0.021449	0.010758	0.579764	0.092932	0.064318	0.052582	
0.026902	8.0E-6	0.031473	0.03505	0.065957	0.073991	0.0	0.05187	0.0	0.586672	0.077901	5.4E-4	0.049636	
0.015614	0.00657	0.045518	3.0E-6	0.046056	1.02E-4	0.077611	0.012696	0.049483	0.624039	0.055939	0.025438	0.040932	
