relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.047753	0.0	0.062003	0.0	0.063637	3.4E-5	0.043511	8.96E-4	0.045289	0.616273	0.06323	0.023147	0.034226	
0.017333	0.0	0.036753	0.007039	0.054732	0.03557	0.00822	0.0	0.066955	0.60447	0.06265	0.029829	0.07645	
0.026602	0.0	1.22E-4	0.0	0.06881	0.102772	0.015475	8.67E-4	3.0E-6	0.656187	0.051314	0.020529	0.057319	
0.030576	0.003183	0.039407	0.001707	0.038811	0.056782	0.039071	1.0E-6	0.053701	0.61744	0.058643	0.03305	0.02763	
0.022632	0.0	0.584215	0.0	0.0	0.0	0.0	0.0	0.0	0.2399	0.089619	0.02276	0.040875	
0.073002	0.0	4.0E-6	5.69E-4	0.006147	5.59E-4	0.132461	0.018241	2.7E-5	0.667985	0.037879	0.063127	0.0	
0.060395	0.004043	0.010018	1.5E-5	0.043766	0.076519	0.051731	0.049079	1.9E-5	0.577457	0.071281	0.010494	0.045184	
0.008108	0.0	8.0E-6	0.095759	6.11E-4	9.1E-5	0.006788	0.0	0.069687	0.634074	0.056925	0.005621	0.122328	
0.035563	0.029007	0.001712	0.026443	0.005037	0.156604	0.0	5.45E-4	0.0	0.606483	0.077452	0.029714	0.031438	
0.033168	0.0	0.012511	0.0	0.163552	1.2E-5	0.044063	2.2E-5	0.0	0.589959	0.125282	0.019503	0.011931	
