relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.02401	0.017908	0.121134	0.0	0.033294	0.001173	0.041381	0.011951	0.017818	0.60448	0.075631	0.019511	0.031708	
0.05597	0.0	0.0	0.0	0.0	0.0	0.094544	0.076071	0.024701	0.614418	0.134018	2.78E-4	0.0	
0.024788	0.0	0.073113	0.0	0.0	9.0E-6	0.073451	0.038684	0.003332	0.662603	0.08469	0.015356	0.023972	
0.041577	0.0	0.072523	0.054146	0.030701	0.0	0.123801	0.006728	0.005877	0.59249	0.057329	2.14E-4	0.014613	
0.021656	0.0	0.016281	0.031311	0.050698	0.063949	0.028563	0.009739	0.038851	0.612353	0.072699	0.028954	0.024945	
0.040517	0.0	0.070684	0.0	0.06884	0.002896	0.016719	0.017552	0.03311	0.61201	0.090424	0.020097	0.027151	
0.03594	0.082974	0.050724	0.0	8.0E-6	0.0	0.0	0.013824	0.082053	0.636817	0.089049	0.0	0.008612	
4.81E-4	0.0	1.7E-4	0.0	0.041549	0.015304	0.074676	0.002001	0.034696	0.648143	0.087169	0.030864	0.064946	
0.033928	0.006694	0.058187	0.013822	0.058763	0.013921	0.046973	0.013294	0.015148	0.599002	0.073389	0.014317	0.052563	
