relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.024277	0.0	0.173431	2.72E-4	0.013915	0.029084	0.041459	3.0E-6	0.024136	0.566163	0.07447	0.031163	0.021627	
2.9E-5	0.0	0.083958	5.94E-4	0.025205	0.066287	0.030984	0.065953	5.15E-4	0.614801	0.036737	0.036837	0.0381	
0.059215	0.044861	0.0	0.0	1.67E-4	0.0	0.099986	0.047394	0.0	0.668291	0.0	0.070012	0.010074	
0.015581	0.024289	0.059979	3.0E-6	0.082803	3.0E-6	0.0	0.050219	0.001222	0.622396	0.0929	0.0	0.050604	
0.034465	0.0	0.105389	0.0	0.031739	0.0344	0.021885	0.01195	0.019031	0.60199	0.069672	0.024183	0.045297	
0.018615	0.0	0.07269	0.001252	0.057496	0.065149	0.016473	3.0E-6	0.043927	0.629413	0.071791	0.0	0.023192	
0.019498	0.0282	0.0	0.0	0.050754	0.072332	0.024301	0.019147	0.061943	0.62183	0.042202	0.059794	0.0	
0.016957	0.0	0.010815	0.0	0.059038	0.09362	0.012463	0.01222	0.0	0.62742	0.060841	0.057176	0.049451	
