relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.054374	0.0	0.130961	0.0	0.001027	0.042198	2.0E-6	1.1E-5	0.067511	0.582168	0.053908	0.023728	0.044112	
0.030574	0.0	0.059542	0.023673	0.04563	0.0	0.064287	3.0E-6	0.031881	0.613361	0.078697	0.019955	0.032397	
0.023556	3.8E-5	0.064268	0.0	0.088441	0.035438	0.025978	0.004885	0.027387	0.62141	0.073222	0.009416	0.025962	
0.01393	0.0	0.022997	0.0	0.073634	0.0	0.016543	0.0	0.0	0.647759	0.090217	0.024349	0.110571	
0.029109	0.0	0.026122	0.037497	1.25E-4	0.209098	0.0	0.0	3.3E-5	0.61657	0.062126	0.003656	0.015664	
0.057841	0.0	0.0	0.0	2.6E-5	0.0	0.326023	1.0E-6	0.0	0.597734	0.0	0.018376	0.0	
3.0E-6	0.0	0.051059	0.0	0.16782	9.63E-4	0.113664	7.0E-6	0.0	0.545761	0.120723	0.0	0.0	
0.033407	0.0	0.045792	0.001735	0.109133	1.7E-5	0.041714	0.002103	0.060143	0.589698	0.058875	0.018523	0.038861	
0.024346	0.0	0.113477	0.006788	0.014974	0.010584	0.085532	0.048116	0.0	0.558735	0.05592	0.081524	3.0E-6	
0.013814	0.001166	0.0	0.0	0.044386	2.4E-5	0.049736	0.056939	0.0	0.665616	0.13265	0.035669	0.0	
