relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.035689	0.021646	0.121933	0.021466	0.023026	0.02715	0.003671	1.4E-5	0.0384	0.59539	0.06468	0.025731	0.021203	
0.023067	0.0	0.102603	0.0	0.066474	2.1E-5	0.067751	4.81E-4	0.018039	0.621092	0.077809	0.021473	0.00119	
0.031691	0.0	0.054333	2.7E-5	0.056497	0.004674	0.057867	0.005283	0.02993	0.613281	0.067178	0.029377	0.049862	
0.043732	0.0	0.065418	3.6E-5	1.2E-5	3.51E-4	0.11249	0.013021	0.03294	0.618943	5.4E-5	0.057192	0.055812	
0.077645	0.0	0.037987	0.0	0.178841	0.0	0.013004	0.023666	0.0	0.555224	0.039632	0.023347	0.050655	
0.031621	0.0	0.068816	0.05331	0.067996	0.005897	2.0E-6	1.7E-5	0.053665	0.621998	0.075986	0.007467	0.013226	
0.00697	0.0	0.0687	0.140235	0.068202	0.0	0.010504	0.0	1.36E-4	0.663644	0.041604	0.0	5.0E-6	
0.038769	0.0	0.004713	0.0	8.0E-6	0.0	0.105939	0.055202	1.5E-4	0.725505	0.014409	0.055305	0.0	
0.044177	0.0	0.046323	0.045704	0.028913	0.002483	0.028723	5.0E-6	0.049218	0.627001	0.057475	0.032303	0.037676	
0.007588	0.0	0.007261	0.0	0.0	0.0516	0.181618	0.0	0.051924	0.576706	0.070748	0.039644	0.012911	
