relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.032406	2.07E-4	0.106455	4.0E-6	0.05515	3.3E-5	0.076315	0.002923	0.0	0.612228	0.065896	0.026436	0.021947	
0.031762	0.0	0.034381	0.033643	0.007563	0.07996	0.003234	0.019608	0.050976	0.632195	0.046237	0.024074	0.036368	
0.025616	0.003073	0.056878	6.0E-6	0.041461	0.059891	0.02896	0.025693	7.0E-6	0.634298	0.079823	0.024624	0.019668	
0.032027	0.0	1.0E-6	0.03377	0.002438	0.050417	0.116437	0.059034	0.0	0.580442	0.091004	0.006466	0.027963	
0.021387	0.0	0.05678	0.0	0.020585	0.003757	0.057052	0.096854	0.005554	0.566979	0.101143	0.010672	0.059238	
0.017045	0.0	0.116365	0.003148	2.0E-6	0.001827	0.030991	0.063737	0.019259	0.641296	0.071803	0.016923	0.017603	
0.002682	0.062973	0.027077	0.001146	5.2E-4	0.032401	0.0	0.0	0.157139	0.562527	0.031475	0.064056	0.058003	
0.02125	0.0	0.079078	0.010763	0.02716	0.020634	0.03932	0.021751	0.031227	0.630176	0.045845	0.024323	0.048473	
0.0352	0.0	0.013757	0.00172	0.118522	0.0	0.085414	0.002656	0.024958	0.627113	0.044333	0.01915	0.027178	
0.067196	0.0	0.067322	0.039663	0.069908	1.3E-5	0.0	8.7E-5	0.015916	0.615783	0.093753	1.3E-5	0.030345	
