relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.030953	0.0	0.067041	3.8E-5	0.026462	0.031817	0.040436	0.0	0.055175	0.61984	0.063103	0.029016	0.036119	
0.053179	0.0	0.059928	0.025009	0.030883	0.073088	0.001648	0.017239	0.0	0.637177	0.049955	0.010982	0.040913	
0.038529	0.0	1.0E-6	0.0	2.06E-4	0.153414	5.87E-4	0.032875	0.024665	0.682734	0.058304	0.008684	0.0	
0.030117	0.020753	0.049564	6.57E-4	0.048646	0.021103	0.035049	0.0017	0.06185	0.615542	0.074095	0.01195	0.028975	
0.09186	0.0	0.119833	0.00138	0.117739	0.0	0.047419	0.0	0.0	0.562928	0.058839	0.0	2.0E-6	
0.026753	0.0	2.4E-4	3.0E-6	0.077508	0.049154	0.013388	0.031918	0.050121	0.6131	0.050973	0.022556	0.064288	
0.0	0.0	0.056366	0.0	0.056493	0.039059	0.04201	0.0	0.0	0.666464	0.108951	0.030211	4.47E-4	
0.023957	0.0	0.0	0.0	0.099459	1.7E-5	0.002301	0.063632	0.0	0.627075	0.158303	0.025256	0.0	
0.051782	0.0	0.060575	0.049184	0.077999	5.0E-6	0.001308	0.006792	0.0165	0.616652	0.049227	0.03695	0.033026	
0.094844	0.0	0.0	0.0	0.012343	5.79E-4	0.0	0.042606	0.07125	0.659028	0.00168	0.091472	0.026198	
