relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.047996	0.013489	0.042118	6.9E-5	0.035397	0.056499	0.03358	2.0E-6	0.057197	0.620285	0.061079	0.025449	0.006839	
0.029821	0.002833	0.050268	0.015816	0.048391	0.006854	0.048847	0.0	0.059625	0.600706	0.064976	0.025711	0.046152	
0.060692	0.0	0.025668	0.01434	0.104661	0.046727	0.009319	0.009893	0.008028	0.583332	0.067466	0.012719	0.057155	
0.067086	3.4E-5	0.0	0.118043	0.0	0.007991	0.053769	0.003426	0.02989	0.615773	0.04969	0.019075	0.035223	
0.0025	0.0	0.045898	4.0E-5	0.027713	0.048523	0.042715	0.0	0.070625	0.596493	0.081915	0.04612	0.037459	
0.015692	4.0E-6	0.118916	0.0	1.91E-4	5.55E-4	0.054929	0.086513	5.24E-4	0.625259	0.040577	0.0	0.056839	
0.068079	0.0	0.046131	1.0E-5	0.082334	0.0	0.068017	0.022137	0.016224	0.603201	0.056627	0.037003	2.37E-4	
0.024974	0.0	0.071269	0.038019	0.004672	0.0	0.056221	0.023209	0.035062	0.607017	0.052506	0.029026	0.058024	
0.038679	0.02838	0.002429	1.0E-6	0.119489	0.001174	0.067116	8.6E-5	0.0	0.579955	0.142358	0.020333	0.0	
0.024372	0.0	0.075975	0.012067	0.039117	0.0	0.05918	0.037914	0.025691	0.627752	0.052321	0.029794	0.015816	
