relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.041242	0.018293	0.088632	0.0	0.040068	4.0E-6	0.039984	0.0	0.036242	0.62223	0.063792	0.031848	0.017665	
0.027897	8.3E-5	0.113295	4.0E-6	0.023246	0.0	0.036422	0.026963	0.033578	0.633914	0.05397	0.017239	0.033388	
0.041564	7.0E-6	0.052745	8.8E-5	0.122847	6.05E-4	0.016501	0.054332	0.010086	0.595183	0.060913	0.006909	0.038221	
8.51E-4	0.0	0.0	1.0E-6	0.024664	0.036527	0.026035	0.051085	0.057398	0.676184	0.127254	0.0	0.0	
0.007853	0.0	0.101749	0.024228	0.026091	0.014345	0.023842	0.0	0.058598	0.623636	0.075787	0.026024	0.017844	
0.01426	0.003719	0.086848	0.03681	0.012824	0.04359	0.010829	1.3E-4	0.052263	0.606452	0.074009	0.025378	0.032887	
0.008633	1.84E-4	0.143834	0.128887	0.001078	1.07E-4	0.0	6.0E-6	0.07108	0.631502	0.0	0.014688	0.0	
0.022635	0.0	1.0E-6	0.017461	0.0	0.092149	0.056156	0.0	0.0	0.663703	0.05498	0.012141	0.080774	
0.357557	0.0	0.00746	0.0	0.072156	1.1E-5	0.0	0.143672	0.004244	0.357726	0.043022	0.0	0.014151	
