relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.026019	0.03189	3.0E-4	6.0E-6	0.154199	0.002814	0.0	1.0E-6	0.041093	0.631029	0.079073	9.07E-4	0.032668	
0.01028	0.0	0.053573	0.089044	0.087932	0.002925	0.0	4.6E-4	0.042098	0.578492	0.078145	0.013059	0.043992	
0.101062	0.0	0.0	0.0	0.110323	0.004302	0.0	0.044715	5.59E-4	0.630987	0.051922	0.036833	0.019297	
0.040845	0.0	0.066617	0.02204	0.036241	0.02514	0.018958	0.023642	0.012912	0.629946	0.060697	0.022896	0.040065	
0.038314	0.038925	0.005556	0.0	0.001087	0.006665	0.073322	0.053246	0.07378	0.602313	0.041005	0.0	0.065787	
0.036865	0.0	0.094921	0.0	0.059161	0.009923	0.039266	0.0	0.032056	0.622265	0.066819	0.014487	0.024238	
0.0	1.2E-5	0.012852	2.0E-6	0.169685	1.5E-5	0.102136	2.3E-5	0.072916	0.633677	0.008681	0.0	0.0	
0.023172	0.0	0.064292	6.49E-4	0.041735	0.051065	0.063983	0.004319	6.15E-4	0.617441	0.069097	0.010087	0.053545	
0.022246	0.0	0.006505	2.0E-6	0.015749	0.047496	0.049211	9.5E-5	0.087028	0.629736	0.058368	0.008794	0.074769	
0.021575	0.014074	0.099268	0.054923	0.044343	9.0E-5	0.03116	9.96E-4	0.003999	0.60586	0.100093	8.81E-4	0.022738	
