relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.038372	0.0	0.060729	0.019465	1.88E-4	0.052444	0.046642	0.0	0.036721	0.633476	0.071291	0.008925	0.031747	
0.036326	0.0	0.045773	0.012999	0.023505	0.052662	0.029045	0.055526	1.0E-6	0.592912	0.086053	0.049093	0.016105	
0.019715	0.0	0.063747	0.046637	0.051532	0.0	0.020262	0.005958	0.036719	0.619211	0.075343	0.026698	0.034179	
0.024275	9.52E-4	0.090245	3.22E-4	0.004971	0.014221	0.042115	2.0E-6	0.091122	0.617304	0.057909	0.01393	0.042633	
0.054676	0.0	0.076727	3.34E-4	0.052649	5.37E-4	0.058834	0.001861	0.012224	0.606067	0.061213	0.010776	0.064101	
0.013959	0.0	0.047516	0.04829	0.055231	8.31E-4	0.02754	0.006001	0.005778	0.622934	0.093773	0.031309	0.046838	
2.0E-6	0.0	0.095555	0.0	0.151243	0.0	0.015012	4.6E-5	0.004105	0.640521	0.067988	0.024768	7.6E-4	
0.103302	0.0	0.0	0.004511	0.028864	0.053078	1.83E-4	0.022615	0.0	0.750152	0.036513	0.0	7.83E-4	
0.030924	0.0	0.048515	0.108049	0.038937	0.006046	0.031207	0.013538	0.03422	0.572059	0.088887	0.009569	0.018049	
