relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.0	0.0	1.1E-5	5.0E-6	0.004386	0.159795	0.0	0.031816	0.049479	0.669101	0.047313	0.038045	4.8E-5	
1.5E-5	0.062019	0.157335	0.0	0.00159	1.0E-6	6.32E-4	0.03783	0.0	0.635045	0.079189	0.026345	0.0	
0.036976	0.0	0.03919	0.0	0.002696	1.7E-5	0.079082	4.5E-5	0.048609	0.609391	0.092305	0.012295	0.079394	
0.071287	0.0	1.1E-5	3.3E-5	0.071403	7.3E-5	0.050055	0.026355	0.0	0.663073	0.091199	3.6E-5	0.026475	
0.098944	0.0	0.0	0.0	0.0	0.0	0.0	0.172238	0.006127	0.208788	1.71E-4	0.037535	0.476196	
0.023603	0.0	2.4E-5	0.001484	0.083517	0.118127	1.92E-4	2.0E-6	0.045801	0.598977	0.086973	0.01345	0.027851	
0.00115	2.23E-4	0.031748	0.0	0.051	2.05E-4	0.052315	0.0	0.113126	0.625585	0.051084	0.036882	0.036682	
0.041131	0.0	0.029066	0.081948	1.5E-5	0.01251	0.044677	0.006745	0.05321	0.593716	0.052405	0.042432	0.042144	
0.035072	0.0	0.109779	1.0E-6	0.122261	0.0	0.0	0.0	0.020377	0.555743	0.082925	0.047851	0.025992	
0.066405	0.0	0.074169	0.035659	0.041112	9.0E-6	0.034487	1.0E-6	0.035475	0.588704	0.092909	0.009231	0.021841	
