relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.032418	0.0	0.103514	8.06E-4	0.038449	0.020055	0.020089	0.011277	0.034754	0.610815	0.071283	0.017107	0.039434	
0.0	0.0	0.073478	2.9E-5	0.010107	0.059389	0.091709	6.72E-4	0.045407	0.645455	0.042382	0.019425	0.011947	
0.04851	0.0	0.005384	0.0	0.021545	0.076459	0.026332	0.0	0.0	0.648961	0.115659	0.0	0.057148	
0.041363	0.00139	0.063299	0.028889	0.110183	0.014555	0.010411	0.0	0.01794	0.60684	0.037843	0.032257	0.03503	
0.040124	0.0	0.08214	2.5E-5	0.067584	0.053288	0.009336	0.006926	0.013276	0.651618	0.047338	0.028345	0.0	
0.035983	2.4E-5	0.01952	0.07386	0.010638	0.026203	0.017888	0.066098	0.002477	0.606829	0.084116	0.027355	0.029009	
0.025679	0.0	4.8E-5	0.009956	0.035697	0.099185	0.050157	0.0	0.015317	0.579449	0.09343	0.039273	0.051808	
0.0	0.0	0.0	7.0E-6	0.0	2.53E-4	2.0E-6	0.186032	0.0	0.66738	0.079172	0.022896	0.044258	
0.087091	0.0	0.008304	2.1E-5	0.015821	0.003304	0.002556	0.02473	0.075805	0.620298	0.153053	0.009017	0.0	
