relict	western_europe	italy_balkan_caucasus	central_europe	asia	south_sweden	north_sweden	germany	spain	High_Atlas	North_Middle_Atlas	Riff	South_Middle_Atlas	
0.064452	0.0	0.0	0.0	0.006451	0.19583	0.033325	1.3E-5	0.042887	0.56777	0.023732	0.0	0.065539	
0.034354	0.0	0.150874	5.2E-5	0.033138	0.026583	0.050763	7.1E-5	0.0	0.607783	0.062737	0.003823	0.029822	
0.043406	0.0	0.007108	0.001642	0.084824	0.032991	0.015029	0.0	0.059561	0.625548	0.067435	0.017318	0.045138	
0.029721	0.049773	0.0	0.0	0.003349	0.001184	0.06526	0.191578	0.0	0.553332	0.083825	0.021978	0.0	
0.031339	0.0	0.032832	0.007089	0.060288	0.0	0.049611	5.63E-4	0.087711	0.588426	0.05298	0.015033	0.074128	
0.014485	0.0	0.049248	0.008637	0.021843	0.106266	0.014138	0.039416	0.051312	0.56579	0.077152	0.030761	0.020952	
0.012443	0.0	0.035962	0.010752	0.128393	0.023917	0.029494	0.010062	0.020077	0.601733	0.058579	0.033159	0.035428	
0.053501	4.0E-6	3.0E-5	0.021892	0.083784	0.031253	0.00747	0.028079	0.023662	0.606737	0.074409	0.029489	0.03969	
0.017758	6.6E-5	0.132803	0.008582	0.085882	0.025294	0.02082	0.0	0.0	0.59044	0.072756	0.007757	0.037842	
0.030774	0.0	0.119362	3.7E-5	0.004139	0.06639	0.016714	0.0	0.002548	0.611915	0.083914	0.028323	0.035884	
