time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.09127e-07	8.22987
1	2.09127e-07	4.75841e-07	8.22987
2	4.75841e-07	8.16002e-07	8.22986
3	8.16002e-07	1.24983e-06	8.22986
4	1.24983e-06	1.80313e-06	8.22987
5	1.80313e-06	2.50879e-06	13.5288
6	2.50879e-06	3.40877e-06	269.353
7	3.40877e-06	4.55658e-06	1879.08
8	4.55658e-06	6.02047e-06	4949.96
9	6.02047e-06	7.88747e-06	5203.9
10	7.88747e-06	1.02686e-05	2543.43
11	1.02686e-05	1.33054e-05	890.96
12	1.33054e-05	1.71785e-05	433.358
13	1.71785e-05	2.21181e-05	455.566
14	2.21181e-05	2.8418e-05	917.617
15	2.8418e-05	3.64526e-05	2249.75
16	3.64526e-05	4.66998e-05	4790.62
17	4.66998e-05	5.97689e-05	8347.28
18	5.97689e-05	7.64367e-05	12428.6
19	7.64367e-05	9.76945e-05	15479.5
20	9.76945e-05	0.000124806	15189.8
21	0.000124806	0.000159383	12248.9
22	0.000159383	0.000203482	7951.6
23	0.000203482	0.000259725	7951.6
24	0.000259725	0.000331456	7951.6
25	0.000331456	0.000422939	7951.6
26	0.000422939	0.000539614	7951.6
27	0.000539614	0.000688418	5082.37
28	0.000688418	0.000878199	5082.37
29	0.000878199	0.00112024	5082.37
30	0.00112024	0.00142893	5082.37
31	0.00142893	inf	5082.37
