time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.12358e-07	8.10463
1	2.12358e-07	4.83193e-07	8.10463
2	4.83193e-07	8.2861e-07	8.10463
3	8.2861e-07	1.26914e-06	8.10463
4	1.26914e-06	1.83099e-06	8.10464
5	1.83099e-06	2.54755e-06	19.3539
6	2.54755e-06	3.46144e-06	332.951
7	3.46144e-06	4.62699e-06	1572.61
8	4.62699e-06	6.11349e-06	2355.48
9	6.11349e-06	8.00934e-06	1587.77
10	8.00934e-06	1.04273e-05	857.531
11	1.04273e-05	1.3511e-05	660.02
12	1.3511e-05	1.74439e-05	927.669
13	1.74439e-05	2.24599e-05	2011.53
14	2.24599e-05	2.88571e-05	4766
15	2.88571e-05	3.70159e-05	9660.42
16	3.70159e-05	4.74214e-05	15016.7
17	4.74214e-05	6.06924e-05	16673.4
18	6.06924e-05	7.76178e-05	13982.6
19	7.76178e-05	9.9204e-05	10871.7
20	9.9204e-05	0.000126734	9012.21
21	0.000126734	0.000161846	7956.2
22	0.000161846	0.000206626	7041.2
23	0.000206626	0.000263738	5988.92
24	0.000263738	0.000336577	4787.39
25	0.000336577	0.000429474	3580.67
26	0.000429474	0.000547951	2555.87
27	0.000547951	0.000699055	1499.5
28	0.000699055	0.000891768	1499.5
29	0.000891768	0.00113755	1730.75
30	0.00113755	0.00145101	1730.75
31	0.00145101	inf	1730.75
