time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.13629e-07	8.05643
1	2.13629e-07	4.86085e-07	8.05643
2	4.86085e-07	8.33568e-07	8.05642
3	8.33568e-07	1.27674e-06	8.05645
4	1.27674e-06	1.84195e-06	8.05642
5	1.84195e-06	2.5628e-06	60.864
6	2.5628e-06	3.48215e-06	933.352
7	3.48215e-06	4.65467e-06	3661.47
8	4.65467e-06	6.15007e-06	4191.74
9	6.15007e-06	8.05727e-06	1909.22
10	8.05727e-06	1.04896e-05	614.974
11	1.04896e-05	1.35918e-05	299.13
12	1.35918e-05	1.75483e-05	364.05
13	1.75483e-05	2.25943e-05	911.683
14	2.25943e-05	2.90297e-05	2660.54
15	2.90297e-05	3.72374e-05	6304.33
16	3.72374e-05	4.77052e-05	10915.2
17	4.77052e-05	6.10555e-05	13786.2
18	6.10555e-05	7.80822e-05	13444.5
19	7.80822e-05	9.97976e-05	11490.6
20	9.97976e-05	0.000127493	9842.08
21	0.000127493	0.000162814	8752.21
22	0.000162814	0.000207863	8059.79
23	0.000207863	0.000265316	7345.56
24	0.000265316	0.000338591	6213.63
25	0.000338591	0.000432043	4929.76
26	0.000432043	0.00055123	3853.64
27	0.00055123	0.000703238	2494.35
28	0.000703238	0.000897104	2494.35
29	0.000897104	0.00114436	2210.26
30	0.00114436	0.00145969	2210.26
31	0.00145969	inf	2210.26
