time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	2.49817e-08	9.99268e-08	989.796702586	12.1035	17885.8530868
1	9.99268e-08	2.19191e-07	109696.584751	47.6137	1159029.49091
2	2.19191e-07	3.61534e-07	1070483.50203	70561.2	1539932.27033
3	3.61534e-07	5.31422e-07	964466.452547	1658530.0	9231.80302686
4	5.31422e-07	7.34186e-07	133784.097095	116856.0	793.037677594
5	7.34186e-07	9.76187e-07	36054.1206315	116856.0	14.8836586132
6	9.76187e-07	1.26502e-06	482.910437813	12.2897	14.8836
7	1.26502e-06	1.60974e-06	67.6974942213	12.2897	14.8836
8	1.60974e-06	2.02118e-06	16.4147	12.1034	14.8836
9	2.02118e-06	2.51223e-06	16.4147	12.1034	14.8836
10	2.51223e-06	3.0983e-06	16.4147	12.1034	14.8836
11	3.0983e-06	3.79779e-06	16.4147	12.1034	14.8836
12	3.79779e-06	4.63264e-06	16.4147	12.1034	14.9853570076
13	4.63264e-06	5.62904e-06	16.4147	12.1034	16.4980373208
14	5.62904e-06	6.81826e-06	62.4723595624	12.1034	31.8577652318
15	6.81826e-06	8.2376e-06	167.481892477	12.1034	316.140144161
16	8.2376e-06	9.93161e-06	883.749161471	12.1034	487.513296001
17	9.93161e-06	1.19534e-05	2891.61940877	12.1034	2280.6750059
18	1.19534e-05	1.43665e-05	4346.05790593	175.499	3293.80257136
19	1.43665e-05	1.72465e-05	9324.27693314	175.499	7560.0786504
20	1.72465e-05	2.06839e-05	10669.4557576	1743.52	10810.5
21	2.06839e-05	2.47864e-05	14953.0728877	1743.52	15361.9515675
22	2.47864e-05	2.96828e-05	16129.9105968	8165.14	20623.1676989
23	2.96828e-05	3.55268e-05	19763.6839028	8165.14	22579.3272403
24	3.55268e-05	4.25016e-05	20904.3263828	19581.1	25989.2950724
25	4.25016e-05	5.08261e-05	23352.186533	19581.1	25300.785436
26	5.08261e-05	6.07615e-05	24352.8635585	24528.7	23202.8991548
27	6.07615e-05	7.26196e-05	23609.1768527	24528.7	21935.7058429
28	7.26196e-05	8.67723e-05	23130.6	18614.9	17285.2697731
29	8.67723e-05	0.000103664	20479.2018532	18614.9	16090.5925207
30	0.000103664	0.000123824	17719.4	12689.5	12192.8031429
31	0.000123824	0.000147885	16057.7458953	12689.5	11137.648065
32	0.000147885	0.000176603	12417.6256426	8609.56	8871.41160847
33	0.000176603	0.000210878	9902.80636074	8609.56	6904.94908348
34	0.000210878	0.000251786	7681.47545323	5965.55	5444.0673822
35	0.000251786	0.000300609	5955.98589989	4572.65	4230.16985253
36	0.000300609	0.000358881	4788.82151621	3439.95	3303.84875434
37	0.000358881	0.000428429	4134.01422666	2582.46	2675.71573197
38	0.000428429	0.000511435	4053.45792431	1998.72	2374.37053181
39	0.000511435	0.000610505	6498.44931491	1686.73	2530.90552264
40	0.000610505	0.000728745	29339.245677	1676.05	4207.88018816
41	0.000728745	0.000869867	34884.5068205	2175.94	4.6808061633e+64
42	0.000869867	0.0010383	30008.7269507	5003.73	2.37797564054e+65
43	0.0010383	0.0041532	5149.41794662	1.94211e+80	1.41026219591e+66
