time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.24799e-07	7.65609
1	2.24799e-07	5.11502e-07	7.65609
2	5.11502e-07	8.77155e-07	7.6561
3	8.77155e-07	1.3435e-06	7.65609
4	1.3435e-06	1.93826e-06	12.2577
5	1.93826e-06	2.69681e-06	346.046
6	2.69681e-06	3.66423e-06	2219.99
7	3.66423e-06	4.89807e-06	3821.74
8	4.89807e-06	6.47166e-06	2292.79
9	6.47166e-06	8.47858e-06	798.562
10	8.47858e-06	1.10382e-05	334.985
11	1.10382e-05	1.43026e-05	297.549
12	1.43026e-05	1.84659e-05	558.747
13	1.84659e-05	2.37757e-05	1476.41
14	2.37757e-05	3.05477e-05	3700.74
15	3.05477e-05	3.91845e-05	7417.14
16	3.91845e-05	5.01997e-05	11440.2
17	5.01997e-05	6.42481e-05	13422
18	6.42481e-05	8.21651e-05	12534.6
19	8.21651e-05	0.000105016	10516.7
20	0.000105016	0.000134159	9004.14
21	0.000134159	0.000171328	8110.77
22	0.000171328	0.000218732	7436.42
23	0.000218732	0.00027919	6536.48
24	0.00027919	0.000356296	5228.48
25	0.000356296	0.000454635	3793.56
26	0.000454635	0.000580054	2606.55
27	0.000580054	0.00074001	1588.46
28	0.00074001	0.000944014	1588.46
29	0.000944014	0.00120419	2613.69
30	0.00120419	0.00153602	2613.69
31	0.00153602	inf	2613.69
