time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.40387e-07	7.15965
1	2.40387e-07	5.46969e-07	7.15965
2	5.46969e-07	9.37976e-07	7.15967
3	9.37976e-07	1.43666e-06	7.15964
4	1.43666e-06	2.07266e-06	17.6025
5	2.07266e-06	2.8838e-06	439.806
6	2.8838e-06	3.91831e-06	2574.31
7	3.91831e-06	5.23769e-06	4144.47
8	5.23769e-06	6.9204e-06	2357.19
9	6.9204e-06	9.06648e-06	768.415
10	9.06648e-06	1.18035e-05	291.752
11	1.18035e-05	1.52943e-05	229.922
12	1.52943e-05	1.97463e-05	389.835
13	1.97463e-05	2.54243e-05	971.175
14	2.54243e-05	3.26659e-05	2511.41
15	3.26659e-05	4.19015e-05	5596.55
16	4.19015e-05	5.36805e-05	9658.42
17	5.36805e-05	6.8703e-05	12572.8
18	6.8703e-05	8.78624e-05	12524.7
19	8.78624e-05	0.000112298	10420.9
20	0.000112298	0.000143462	8539.56
21	0.000143462	0.000183208	7541.93
22	0.000183208	0.000233899	6969.52
23	0.000233899	0.000298548	6189.72
24	0.000298548	0.000381001	5065.24
25	0.000381001	0.000486159	3795.22
26	0.000486159	0.000620274	2660.83
27	0.000620274	0.000791322	1621.76
28	0.000791322	0.00100947	1621.76
29	0.00100947	0.00128769	2397.71
30	0.00128769	0.00164253	2397.71
31	0.00164253	inf	2397.71
