time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.9925e-07	8.6378
1	1.9925e-07	4.53368e-07	8.6378
2	4.53368e-07	7.77464e-07	8.63781
3	7.77464e-07	1.19081e-06	8.6378
4	1.19081e-06	1.71797e-06	8.6378
5	1.71797e-06	2.39031e-06	18.7244
6	2.39031e-06	3.24778e-06	359.129
7	3.24778e-06	4.34138e-06	2002.36
8	4.34138e-06	5.73614e-06	3734.38
9	5.73614e-06	7.51496e-06	2948.59
10	7.51496e-06	9.78363e-06	1505.17
11	9.78363e-06	1.2677e-05	874.291
12	1.2677e-05	1.63672e-05	892.94
13	1.63672e-05	2.10735e-05	1613.78
14	2.10735e-05	2.70759e-05	3692.91
15	2.70759e-05	3.47311e-05	7835.4
16	3.47311e-05	4.44943e-05	13401.8
17	4.44943e-05	5.69461e-05	17233.2
18	5.69461e-05	7.28268e-05	16168.6
19	7.28268e-05	9.30806e-05	12682.1
20	9.30806e-05	0.000118912	10106.7
21	0.000118912	0.000151856	8774.56
22	0.000151856	0.000193872	7878.1
23	0.000193872	0.000247459	6870.58
24	0.000247459	0.000315802	5705.6
25	0.000315802	0.000402964	4507.28
26	0.000402964	0.000514129	3322.21
27	0.000514129	0.000655906	2041.25
28	0.000655906	0.000836724	2041.25
29	0.000836724	0.00106733	1025.77
30	0.00106733	0.00136145	1025.77
31	0.00136145	inf	1025.77
