time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	2.557e-08	1.0228e-07	158402.398954	11.8252	605863.776899
1	1.0228e-07	2.24352e-07	2225283.62694	4254.87	2362280.33549
2	2.24352e-07	3.70047e-07	286684.064596	2234120.0	89895.9912077
3	3.70047e-07	5.43935e-07	27924.301958	186903.0	14.1532
4	5.43935e-07	7.51473e-07	35.1773004502	11.825	14.1532
5	7.51473e-07	9.99173e-07	20.4505	11.825	14.1532
6	9.99173e-07	1.29481e-06	20.4505	11.825	14.1532
7	1.29481e-06	1.64765e-06	20.4505	11.825	14.1532
8	1.64765e-06	2.06877e-06	20.4505	11.825	14.1532
9	2.06877e-06	2.57138e-06	20.4505	11.825	14.1532
10	2.57138e-06	3.17125e-06	20.4505	11.825	14.1532
11	3.17125e-06	3.88721e-06	20.4505	11.825	14.1532
12	3.88721e-06	4.74172e-06	20.4505	11.825	15.4335603857
13	4.74172e-06	5.76158e-06	78.1731957882	11.825	68.9594539073
14	5.76158e-06	6.9788e-06	130.302	11.825	107.942104483
15	6.9788e-06	8.43157e-06	982.915150115	11.825	838.840693578
16	8.43157e-06	1.01655e-05	1857.41	14.1766	1334.91729841
17	1.01655e-05	1.22349e-05	4644.00745521	14.1766	4043.40658028
18	1.22349e-05	1.47048e-05	8300.3853861	307.73	6492.03
19	1.47048e-05	1.76526e-05	11824.0705091	307.73	9716.21026338
20	1.76526e-05	2.11709e-05	18027.3372781	2043.02	13957.3128693
21	2.11709e-05	2.537e-05	20366.0678789	2043.02	15352.2764921
22	2.537e-05	3.03817e-05	25810.5986229	6776.96	17972.765213
23	3.03817e-05	3.63633e-05	26635.868696	6776.96	18234.9371794
24	3.63633e-05	4.35023e-05	28450.9765681	13574.7	18721.5782628
25	4.35023e-05	5.20228e-05	28149.9124834	13574.7	18635.2248311
26	5.20228e-05	6.21922e-05	25217.7462118	18386.7	18082.3295302
27	6.21922e-05	7.43295e-05	24215.6091616	18386.7	17757.9525043
28	7.43295e-05	8.88155e-05	19828.0054695	17927.9	15967.7537027
29	8.88155e-05	0.000106105	18381.2397485	17927.9	15370.3192787
30	0.000106105	0.00012674	15661.4364201	13749.3	12993.3560516
31	0.00012674	0.000151368	13071.5670328	13749.3	12049.377514
32	0.000151368	0.000180761	11186.6418369	9450.52	10396.8240785
33	0.000180761	0.000215843	9468.27949842	9450.52	8488.15383075
34	0.000215843	0.000257714	7978.12103719	6757.51	7004.80707033
35	0.000257714	0.000307687	6812.07289016	5337.37	5665.32677867
36	0.000307687	0.000367331	6078.84582682	4137.45	4563.40044003
37	0.000367331	0.000438517	6024.95365928	3218.92	3739.57450591
38	0.000438517	0.000523478	8693.62279971	2591.54	3218.12461249
39	0.000523478	0.00062488	15132.7400133	2266.45	3076.96914171
40	0.00062488	0.000745904	14018.485458	2309.65	3720.27928224
41	0.000745904	0.000890348	11819.5137061	3065.73	3.98251811112e+70
42	0.000890348	0.00106274	9195.03825434	8134.97	2.8557592511e+71
43	0.00106274	0.00425096	1004.64360013	4.5576e+74	1.933982e+72
