time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.07268e-07	8.30365
1	2.07268e-07	4.71612e-07	8.30365
2	4.71612e-07	8.0875e-07	8.30369
3	8.0875e-07	1.23873e-06	8.30366
4	1.23873e-06	1.78711e-06	8.30368
5	1.78711e-06	2.48649e-06	36.3587
6	2.48649e-06	3.37848e-06	371.395
7	3.37848e-06	4.51609e-06	1298.88
8	4.51609e-06	5.96696e-06	1734.13
9	5.96696e-06	7.81737e-06	1128.69
10	7.81737e-06	1.01773e-05	576.64
11	1.01773e-05	1.31872e-05	417.129
12	1.31872e-05	1.70258e-05	594.676
13	1.70258e-05	2.19215e-05	1401.26
14	2.19215e-05	2.81654e-05	3648.46
15	2.81654e-05	3.61287e-05	8171.47
16	3.61287e-05	4.62848e-05	14360.5
17	4.62848e-05	5.92377e-05	18119.8
18	5.92377e-05	7.57574e-05	15840.7
19	7.57574e-05	9.68263e-05	11819.1
20	9.68263e-05	0.000123697	9349.89
21	0.000123697	0.000157967	8114.1
22	0.000157967	0.000201674	7199.45
23	0.000201674	0.000257417	6140.13
24	0.000257417	0.00032851	5012.33
25	0.00032851	0.00041918	4096.23
26	0.00041918	0.000534818	3484.26
27	0.000534818	0.0006823	3667.34
28	0.0006823	0.000870394	3667.34
29	0.000870394	0.00111028	108.602
30	0.00111028	0.00141623	108.602
31	0.00141623	inf	108.602
