time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.01818e-07	8.52791
1	2.01818e-07	4.5921e-07	8.52791
2	4.5921e-07	7.87482e-07	8.52795
3	7.87482e-07	1.20615e-06	8.52791
4	1.20615e-06	1.74011e-06	8.52802
5	1.74011e-06	2.42111e-06	72.4974
6	2.42111e-06	3.28963e-06	610.09
7	3.28963e-06	4.39733e-06	1792.37
8	4.39733e-06	5.81005e-06	2267.04
9	5.81005e-06	7.6118e-06	1643.69
10	7.6118e-06	9.9097e-06	1000.14
11	9.9097e-06	1.28404e-05	768.952
12	1.28404e-05	1.65781e-05	966.456
13	1.65781e-05	2.13451e-05	1860.18
14	2.13451e-05	2.74248e-05	4132.51
15	2.74248e-05	3.51786e-05	8452.56
16	3.51786e-05	4.50677e-05	14301
17	4.50677e-05	5.76799e-05	17945.7
18	5.76799e-05	7.37652e-05	15683.8
19	7.37652e-05	9.428e-05	11750.7
20	9.428e-05	0.000120444	9431.75
21	0.000120444	0.000153813	8287.37
22	0.000153813	0.000196371	7389.3
23	0.000196371	0.000250648	6283.05
24	0.000250648	0.000319871	5075.05
25	0.000319871	0.000408157	4106.42
26	0.000408157	0.000520754	3561.02
27	0.000520754	0.000664358	5728.08
28	0.000664358	0.000847506	5728.08
29	0.000847506	0.00108109	62.9593
30	0.00108109	0.00137899	62.9593
31	0.00137899	inf	62.9593
