time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.05159e-07	8.38903
1	2.05159e-07	4.66813e-07	8.38903
2	4.66813e-07	8.00519e-07	8.38904
3	8.00519e-07	1.22612e-06	8.38904
4	1.22612e-06	1.76892e-06	8.38906
5	1.76892e-06	2.46119e-06	31.377
6	2.46119e-06	3.34409e-06	413.35
7	3.34409e-06	4.47012e-06	1794.97
8	4.47012e-06	5.90623e-06	3002.79
9	5.90623e-06	7.73781e-06	2469.2
10	7.73781e-06	1.00738e-05	1457.1
11	1.00738e-05	1.3053e-05	984.623
12	1.3053e-05	1.68525e-05	1081.94
13	1.68525e-05	2.16984e-05	1941.56
14	2.16984e-05	2.78788e-05	4284.14
15	2.78788e-05	3.5761e-05	8806.17
16	3.5761e-05	4.58138e-05	14583.2
17	4.58138e-05	5.86348e-05	17631.2
18	5.86348e-05	7.49864e-05	15332.1
19	7.49864e-05	9.58408e-05	11725.6
20	9.58408e-05	0.000122438	9429.31
21	0.000122438	0.000156359	8181.71
22	0.000156359	0.000199622	7268.12
23	0.000199622	0.000254797	6312.11
24	0.000254797	0.000325167	5375.11
25	0.000325167	0.000414914	4543.8
26	0.000414914	0.000529375	3770.7
27	0.000529375	0.000675356	2784.58
28	0.000675356	0.000861536	2784.58
29	0.000861536	0.00109898	428.9
30	0.00109898	0.00140182	428.9
31	0.00140182	inf	428.9
