time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.11646e-07	8.1319
1	2.11646e-07	4.81573e-07	8.1319
2	4.81573e-07	8.25831e-07	8.13192
3	8.25831e-07	1.26489e-06	8.1319
4	1.26489e-06	1.82485e-06	8.13191
5	1.82485e-06	2.53901e-06	18.8197
6	2.53901e-06	3.44983e-06	363.091
7	3.44983e-06	4.61147e-06	2262.88
8	4.61147e-06	6.09299e-06	5213.65
9	6.09299e-06	7.98248e-06	5079.01
10	7.98248e-06	1.03923e-05	2472.53
11	1.03923e-05	1.34657e-05	859.03
12	1.34657e-05	1.73854e-05	397.323
13	1.73854e-05	2.23846e-05	393.949
14	2.23846e-05	2.87603e-05	750.208
15	2.87603e-05	3.68918e-05	1831.83
16	3.68918e-05	4.72624e-05	4191.79
17	4.72624e-05	6.04889e-05	8009.18
18	6.04889e-05	7.73575e-05	12646.8
19	7.73575e-05	9.88713e-05	15921.3
20	9.88713e-05	0.000126309	15256.5
21	0.000126309	0.000161303	12326.7
22	0.000161303	0.000205934	7869.52
23	0.000205934	0.000262854	7869.52
24	0.000262854	0.000335448	7869.52
25	0.000335448	0.000428033	7869.52
26	0.000428033	0.000546114	7869.52
27	0.000546114	0.000696711	2567.71
28	0.000696711	0.000888778	2567.71
29	0.000888778	0.00113373	2567.71
30	0.00113373	0.00144615	2567.71
31	0.00144615	inf	2567.71
